Date,Open,High,Low,Close,Volume,Adj Close,Return
2000-04-14,19.0,20.94,12.5,15.31,1400,738.35,0.0
2000-05-01,15.31,16.75,12.75,14.13,700,681.44,-0.07707726687885141
2000-06-01,14.88,22.0,14.63,19.61,600,945.73,0.38784045550598734
2000-07-03,18.5,24.37,18.5,22.75,600,1097.16,0.16011969589629182
2000-08-01,23.0,24.62,18.0,24.12,500,1163.23,0.06021911115972145
2000-09-01,24.12,41.06,24.12,39.5,8400,1904.95,0.6376383002501655
2000-10-02,40.0,40.38,30.75,36.25,2300,1748.22,-0.08227512533137349
2000-11-01,36.0,36.31,22.0,27.75,2200,1338.29,-0.23448421823340315
2000-12-01,27.5,38.31,24.64,37.88,2600,1826.83,0.3650479343042241
2001-01-02,37.88,37.94,24.5,29.87,2600,1440.53,-0.2114591943421117
2001-02-01,29.98,30.87,20.0,21.87,1300,1054.72,-0.2678250366184668
2001-03-01,22.0,22.62,14.56,21.31,2500,1027.71,-0.02560869235436891
2001-04-02,21.69,28.13,19.31,25.35,1100,1222.55,0.18958655651886214
2001-05-01,25.35,26.44,20.16,24.7,1900,1191.2,-0.025643122980655075
2001-06-01,24.7,26.29,20.65,25.5,1900,1229.78,0.0323875083948959
2001-07-02,25.25,25.25,17.9,20.15,1700,971.77,-0.20980175315910166
2001-08-01,20.21,20.32,16.44,17.94,900,865.19,-0.10967615793860674
2001-09-04,17.5,18.82,13.55,14.05,1900,677.58,-0.21684254325639452
2001-10-01,14.07,16.65,13.0,15.78,1900,761.02,0.12314413058236662
2001-11-01,15.07,19.5,13.81,19.4,6700,1028.91,0.3520144017240021
2001-12-03,19.33,27.0,18.16,25.05,6800,1328.57,0.2912402445306197
2002-01-02,25.0,25.21,14.77,15.54,8000,824.19,-0.3796412684314714
2002-02-01,15.51,18.44,13.87,17.0,3000,901.62,0.09394678411531321
2002-03-01,17.0,25.17,17.0,21.49,5200,1139.76,0.26412457576362547
2002-04-01,21.6,21.93,13.38,14.99,6800,795.02,-0.30246718607426126
2002-05-01,14.62,14.64,12.01,12.89,2900,683.64,-0.14009710447535906
2002-06-03,13.0,13.2,9.95,12.57,2400,666.67,-0.024823006260605074
2002-07-01,12.59,13.29,11.17,11.75,1900,623.18,-0.06523467382663084
2002-08-01,11.84,12.25,9.74,9.88,1700,524.0,-0.1591514490195448
2002-09-03,9.86,15.1,9.28,14.1,2300,747.82,0.4271374045801528
2002-10-01,14.08,16.3,12.83,15.42,1800,817.82,0.09360541306731562
2002-11-01,15.42,16.11,12.5,14.65,1600,776.99,-0.0499254114597345
2002-12-02,14.54,14.6,10.14,10.14,1700,537.79,-0.30785466994427213
2003-01-02,10.13,11.9,8.7,10.8,2900,572.79,0.06508116551070131
2003-02-03,10.75,11.15,9.21,10.76,1300,570.67,-0.0037011819340421193
2003-03-03,10.75,11.99,9.5,11.51,1300,610.45,0.06970753675504238
2003-04-01,11.36,15.74,11.35,14.6,1900,774.33,0.2684576951429274
2003-05-01,14.52,17.55,13.99,15.19,2800,926.4,0.1963891364147068
2003-06-02,14.76,17.28,12.55,13.79,3000,841.01,-0.09217400690846289
2003-07-01,14.0,15.56,13.0,14.84,1300,905.05,0.07614653809110461
2003-08-01,14.5,14.97,13.52,14.05,1100,856.87,-0.05323462792110922
2003-09-02,14.04,18.71,13.85,15.0,1600,914.81,0.06761819179105344
2003-10-01,15.13,17.15,13.47,15.28,2200,931.88,0.018659612378526758
2003-11-03,15.3,18.2,15.0,17.87,2000,1089.84,0.16950680345108804
2003-12-01,17.89,19.4,16.01,18.22,1700,1111.19,0.01959003156426653
2004-01-02,18.47,19.5,15.71,18.79,5500,1145.95,0.031281778993691445
2004-02-02,19.21,21.64,17.75,21.02,2900,1281.95,0.11867882542868369
2004-03-01,21.17,22.7,17.6,18.76,4200,1144.12,-0.10751589375560677
2004-04-01,18.75,21.86,18.74,20.43,2800,1245.97,0.08902038247736255
2004-05-03,17.41,19.17,10.97,11.0,6100,670.86,-0.46157612141544335
2004-06-01,11.05,11.22,8.91,10.33,4800,630.0,-0.060906895626509305
2004-07-01,10.4,10.48,6.06,6.31,2900,384.83,-0.38915873015873015
2004-08-02,6.3,6.8,4.66,5.67,4900,345.8,-0.1014214068549748
2004-09-01,5.81,8.8,5.7,8.56,5600,522.05,0.5096876807403121
2004-10-01,8.68,9.02,6.26,7.27,2900,443.38,-0.1506943779331481
2004-11-01,7.38,13.0,6.67,11.65,5900,710.5,0.6024628986422482
2004-12-01,11.8,13.59,10.6,12.51,4000,762.95,0.07382125263898676
2005-01-03,12.55,13.43,9.58,10.97,2900,669.03,-0.12310112065010825
2005-02-01,11.05,12.0,10.06,10.43,2200,636.1,-0.049220513280420874
2005-03-01,10.31,10.59,7.56,7.77,3600,473.87,-0.25503851595661065
2005-04-01,7.75,8.42,7.16,8.35,1900,509.24,0.0746407242492666
2005-05-02,8.24,10.73,8.18,9.81,2700,598.28,0.17484879428167455
2005-06-01,9.8,10.49,9.05,9.99,1600,609.26,0.018352610817677473
2005-07-01,10.01,12.37,9.87,11.69,2600,712.94,0.17017365328431233
2005-08-01,10.85,14.0,10.85,13.45,4600,820.28,0.15055965438886854
2005-09-01,13.45,15.47,11.5,12.4,4200,756.24,-0.07807090261861804
2005-10-03,12.4,13.03,8.99,9.61,6400,586.09,-0.22499471067386012
2005-11-01,9.45,10.49,8.49,9.44,3800,575.72,-0.017693528297701766
2005-12-01,9.37,12.25,7.75,10.79,24200,658.05,0.14300354338914745
2006-01-03,10.96,12.67,10.35,11.73,12800,715.38,0.08712103943469351
2006-02-01,11.76,12.08,10.01,10.12,5100,617.19,-0.13725572423047883
2006-03-01,10.05,10.57,8.25,8.36,4900,509.85,-0.17391727020852576
2006-04-03,8.43,8.51,7.46,7.99,4100,487.29,-0.04424830832597826
2006-05-01,7.87,7.93,5.25,5.63,5800,343.36,-0.2953682611996963
2006-06-01,5.66,7.54,4.8,5.33,10700,325.06,-0.0532968313140727
2006-07-03,5.34,5.61,4.32,4.55,3000,277.49,-0.14634221374515477
2006-08-01,4.54,5.38,4.4,4.97,2800,303.11,0.09232765144689892
2006-09-01,5.02,5.1,4.52,4.85,3200,295.79,-0.024149648642406985
2006-10-02,5.04,8.49,5.01,7.24,12600,441.55,0.49278204131309367
