Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,1.71,1.82,1.71,1.71,38400,0.07,0.0
1990-04-04,1.71,1.92,1.71,1.92,40800,0.08,0.1428571428571428
1990-05-01,1.82,2.57,1.82,2.24,52600,0.09,0.125
1990-06-01,2.24,2.99,2.03,2.46,118300,0.1,0.11111111111111116
1990-07-02,2.24,2.35,1.5,1.71,36500,0.07,-0.29999999999999993
1990-08-03,1.5,1.6,1.39,1.39,12200,0.06,-0.14285714285714302
1990-09-04,1.6,1.6,1.39,1.6,21700,0.06,0.0
1990-10-01,1.39,1.92,1.28,1.82,51700,0.07,0.16666666666666674
1990-11-02,1.71,1.92,1.71,1.71,33300,0.07,0.0
1990-12-05,1.71,2.03,1.71,1.92,46300,0.08,0.1428571428571428
1991-01-03,1.82,2.78,1.71,2.57,54100,0.1,0.25
1991-02-01,2.78,3.95,2.57,3.53,295600,0.14,0.40000000000000013
1991-03-01,3.85,4.06,3.63,3.85,69100,0.16,0.1428571428571428
1991-04-02,4.06,4.92,3.85,4.6,108700,0.19,0.1875
1991-05-01,4.28,5.21,4.28,4.78,100800,0.2,0.05263157894736836
1991-06-03,5.21,5.32,4.78,5.1,73200,0.21,0.04999999999999982
1991-07-01,5.1,5.86,4.88,5.54,182300,0.23,0.09523809523809534
1991-08-01,5.86,8.25,5.54,7.82,110300,0.32,0.3913043478260869
1991-09-03,8.25,8.56,7.25,7.9,107400,0.33,0.03125
1991-10-01,7.9,10.1,7.9,9.66,134600,0.4,0.21212121212121215
1991-11-04,9.0,9.66,8.34,8.88,105700,0.37,-0.07500000000000007
1991-12-03,8.88,10.21,7.77,9.99,152200,0.42,0.1351351351351351
1992-01-02,9.99,14.42,9.21,14.42,234800,0.61,0.45238095238095233
1992-02-03,14.2,14.65,12.96,13.4,140600,0.57,-0.06557377049180335
1992-03-02,13.4,14.3,9.16,10.5,221700,0.67,0.17543859649122817
1992-04-01,9.83,11.39,8.04,10.5,111000,0.67,0.0
1992-05-01,10.72,12.13,9.66,11.46,93600,0.74,0.10447761194029836
1992-06-01,11.68,11.68,9.44,10.34,94400,0.66,-0.108108108108108
1992-07-01,9.44,10.34,8.54,8.99,73200,0.58,-0.12121212121212133
1992-08-03,8.76,10.11,8.76,8.99,80400,0.58,0.0
1992-09-01,9.51,9.74,8.15,9.06,90000,0.59,0.01724137931034475
1992-10-01,9.29,12.46,7.93,12.23,389100,0.79,0.33898305084745783
1992-11-02,12.23,14.58,11.78,13.67,276700,0.89,0.12658227848101267
1992-12-01,14.13,17.77,13.44,17.32,215900,1.13,0.2696629213483144
1993-01-04,17.09,17.77,14.13,15.95,210300,1.04,-0.07964601769911495
1993-02-01,15.5,17.77,15.11,16.71,147700,1.09,0.04807692307692313
1993-03-01,16.71,16.94,10.76,11.44,156900,1.12,0.02752293577981657
1993-04-01,11.67,12.13,10.3,11.21,55500,1.1,-0.017857142857142905
1993-05-03,11.27,11.5,10.35,11.27,54500,1.11,0.009090909090909038
1993-06-01,10.81,12.07,9.89,12.07,83900,1.19,0.072072072072072
1993-07-01,12.19,13.57,11.5,11.73,117000,1.16,-0.025210084033613467
1993-08-02,11.96,12.94,10.58,12.94,125200,1.28,0.10344827586206917
1993-09-01,12.47,14.55,12.01,13.4,82800,1.33,0.0390625
1993-10-01,14.09,15.71,13.63,15.24,122900,1.51,0.13533834586466154
1993-11-01,14.78,15.24,13.45,14.37,161300,1.43,-0.052980132450331174
1993-12-01,13.91,14.61,13.45,14.26,92400,1.42,-0.006993006993006978
1994-01-03,13.68,14.61,13.45,14.14,132300,1.41,-0.007042253521126751
1994-02-01,13.68,14.67,12.75,14.2,106900,1.42,0.007092198581560183
1994-03-01,14.2,14.2,9.55,9.66,59000,1.29,-0.09154929577464777
1994-04-04,10.01,10.01,6.05,6.46,316300,0.86,-0.33333333333333337
1994-05-02,6.87,8.44,6.52,8.32,131500,1.12,0.30232558139534893
1994-06-01,8.44,8.91,6.92,7.5,80300,1.01,-0.09821428571428581
1994-07-01,7.74,8.67,7.03,8.21,44300,1.1,0.08910891089108919
1994-08-01,8.67,8.91,7.97,8.21,58400,1.1,0.0
1994-09-01,8.37,8.37,7.55,8.02,36700,1.08,-0.018181818181818188
1994-10-03,7.66,8.72,7.66,8.14,34600,1.1,0.0185185185185186
1994-11-01,8.49,9.72,7.9,9.6,117100,1.31,0.19090909090909092
1994-12-01,9.6,9.6,8.77,9.25,49300,1.26,-0.038167938931297773
1995-01-03,9.25,9.6,8.3,9.25,118600,1.26,0.0
1995-02-01,9.37,11.14,9.01,10.01,202700,1.37,0.08730158730158744
1995-03-01,10.01,10.49,9.53,9.77,62000,1.34,-0.021897810218978075
1995-04-03,10.25,10.72,9.77,10.6,81800,1.45,0.08208955223880587
1995-05-01,10.6,10.9,9.53,10.78,52900,1.48,0.020689655172413834
1995-06-01,10.54,14.62,10.54,14.02,179000,1.93,0.30405405405405395
1995-07-03,14.62,17.73,13.66,15.82,160800,2.18,0.1295336787564767
1995-08-01,15.82,18.45,14.98,17.49,257200,2.41,0.10550458715596323
1995-09-01,17.25,19.95,17.07,19.47,176400,2.69,0.1161825726141077
1995-10-02,19.11,21.27,18.27,20.91,235300,2.89,0.07434944237918217
1995-11-01,20.55,24.22,19.95,23.26,209800,3.22,0.11418685121107264
1995-12-01,23.26,24.58,21.33,23.86,152000,3.3,0.024844720496894235
1996-01-02,23.86,24.34,19.64,22.29,160200,3.08,-0.06666666666666654
1996-02-01,22.29,22.37,20.49,21.64,135600,3.0,-0.025974025974025983
1996-03-01,21.64,24.9,20.79,23.58,148400,3.27,0.09000000000000008
1996-04-01,23.58,30.35,23.58,30.35,229800,4.21,0.2874617737003058
1996-05-01,30.35,33.69,28.53,31.87,156400,4.44,0.05463182897862251
1996-06-03,32.23,33.2,28.36,32.96,186000,4.59,0.03378378378378377
