Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-01-14,25.04,25.7,22.3,25.2,609400,23.87,0.0
2013-02-01,25.2,25.48,25.11,25.43,229300,24.09,0.009216589861751112
2013-03-01,25.42,26.34,25.36,26.05,130600,24.68,0.024491490244914926
2013-04-01,26.12,26.6,25.7,26.5,110200,25.55,0.035251215559157334
2013-05-01,26.5,26.85,25.8,26.05,85600,25.11,-0.017221135029354295
2013-06-03,26.1,26.1,24.5,25.9,92100,24.97,-0.005575467941059342
2013-07-01,25.76,25.93,24.91,25.3,42800,24.83,-0.0056067280736884495
2013-08-01,25.3,25.35,23.59,24.67,34500,24.21,-0.024969794603302398
2013-09-03,24.7,25.05,24.13,25.0,30300,24.54,0.013630731102850069
2013-10-01,24.98,25.05,23.91,24.79,29600,24.79,0.010187449062754705
2013-11-01,24.79,24.79,24.3,24.36,25900,24.36,-0.01734570391286805
