Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-10-26,17.5,18.5,15.49,16.33,794600,81.65,0.0
2010-11-01,16.5,16.9,7.09,8.15,281000,40.75,-0.5009185548071036
2010-12-01,8.49,8.49,6.45,7.41,136600,37.05,-0.09079754601226997
2011-01-03,7.5,7.86,5.41,5.68,45600,28.4,-0.23346828609986503
2011-02-01,5.71,6.99,5.3,5.37,82400,26.85,-0.054577464788732266
2011-03-01,5.5,6.88,5.17,5.88,135900,29.4,0.0949720670391061
2011-04-01,5.87,6.35,5.3,5.5,63000,27.5,-0.06462585034013602
2011-05-02,5.55,5.73,3.33,3.42,52600,17.1,-0.3781818181818182
2011-06-01,3.4,3.45,2.53,3.32,38500,16.6,-0.029239766081871288
2011-07-01,3.29,3.74,2.8,2.83,26500,14.15,-0.1475903614457832
2011-08-01,2.9,2.9,1.43,2.02,64200,10.1,-0.28621908127208484
2011-09-01,1.99,2.4,1.23,1.37,49300,6.85,-0.32178217821782185
2011-10-03,1.37,1.97,1.23,1.85,13800,9.25,0.35036496350364965
2011-11-01,1.82,1.82,1.41,1.56,7300,7.8,-0.15675675675675682
2011-12-01,1.46,1.48,1.1,1.16,18700,5.8,-0.2564102564102564
2012-01-03,1.18,1.6,1.11,1.48,27700,7.4,0.27586206896551735
2012-02-01,1.45,1.55,1.21,1.26,8700,6.3,-0.14864864864864868
2012-03-01,1.26,1.42,1.16,1.23,7400,6.15,-0.023809523809523725
2012-04-02,1.24,1.35,1.1,1.15,5500,5.75,-0.06504065040650409
2012-05-01,1.19,1.22,0.62,0.72,8400,3.6,-0.3739130434782608
2012-06-01,0.73,1.18,0.73,0.99,11500,4.95,0.375
2012-07-02,0.99,1.02,0.87,0.93,4900,4.65,-0.06060606060606055
2012-08-01,0.95,0.95,0.63,0.7,5800,3.5,-0.24731182795698925
2012-09-04,0.71,0.79,0.52,0.61,10000,3.05,-0.12857142857142867
2012-10-01,0.58,0.66,0.52,0.6,2800,3.0,-0.016393442622950727
2012-11-01,0.6,0.69,0.52,0.54,2400,2.7,-0.09999999999999998
2012-12-03,0.55,0.58,0.46,0.55,8400,2.75,0.01851851851851838
2013-01-02,0.55,0.67,0.51,0.62,6300,3.1,0.1272727272727272
2013-02-01,2.76,3.07,2.09,2.39,8400,2.39,-0.2290322580645161
2013-03-01,2.23,2.75,1.67,2.66,35800,2.66,0.11297071129707104
2013-04-01,2.76,7.88,2.68,3.33,178400,3.33,0.25187969924812026
2013-05-01,3.58,4.25,2.68,2.69,55500,2.69,-0.1921921921921922
2013-06-03,2.69,2.7,2.21,2.28,7400,2.28,-0.15241635687732347
2013-07-01,2.3,2.55,2.21,2.39,14000,2.39,0.04824561403508776
2013-08-01,2.39,7.88,2.39,3.78,608100,3.78,0.5815899581589956
2013-09-03,3.78,4.1,3.51,3.72,42000,3.72,-0.015873015873015817
2013-10-01,3.7,4.85,3.42,4.13,113000,4.13,0.11021505376344076
2013-11-01,4.1,4.66,3.9,4.18,47600,4.18,0.012106537530266248
