Date,Open,High,Low,Close,Volume,Adj Close,Return
2007-11-15,23.0,29.49,22.06,27.65,1075800,27.65,0.0
2007-12-03,27.7,38.4,27.24,38.4,184500,38.4,0.3887884267631103
2008-01-02,37.82,37.95,24.74,32.97,243100,32.97,-0.14140624999999996
2008-02-01,32.97,35.97,29.18,29.73,166800,29.73,-0.0982711555959963
2008-03-03,29.5,32.1,23.29,29.75,238800,29.75,0.0006727211570802805
2008-04-01,29.82,33.64,24.65,31.02,531600,31.02,0.04268907563025204
2008-05-01,31.01,37.75,29.2,35.55,486900,35.55,0.1460348162475822
2008-06-02,34.85,38.05,33.85,36.29,391700,36.29,0.020815752461322168
2008-07-01,35.48,35.58,29.33,29.75,938000,29.75,-0.18021493524386878
2008-08-01,29.91,31.5,28.05,29.85,396700,29.85,0.003361344537815114
2008-09-02,29.82,30.01,19.75,24.0,1226800,24.0,-0.1959798994974875
2008-10-01,23.8,23.8,14.16,17.24,995800,17.24,-0.28166666666666673
2008-11-03,17.14,17.5,11.06,15.43,617900,15.43,-0.1049883990719257
2008-12-01,14.84,18.0,14.2,17.76,521900,17.76,0.1510045366169801
2009-01-02,17.92,18.81,15.16,17.36,707600,17.36,-0.022522522522522626
2009-02-02,17.45,18.71,15.34,15.76,757900,15.76,-0.09216589861751145
2009-03-02,15.48,17.12,12.61,16.91,821600,16.91,0.07296954314720816
2009-04-01,16.53,21.98,16.28,20.99,921900,20.99,0.24127735068007095
2009-05-01,21.44,24.08,20.15,21.27,1863800,21.27,0.01333968556455467
2009-06-01,21.47,25.64,21.35,24.44,1660900,24.44,0.14903620122237893
2009-07-01,24.5,28.13,23.79,27.95,826800,27.95,0.1436170212765957
2009-08-03,28.36,30.62,26.69,29.42,656200,29.42,0.052593917710196836
2009-09-01,29.18,30.48,26.5,29.62,632700,29.62,0.00679809653297081
2009-10-01,26.65,31.04,25.43,30.4,1556500,30.4,0.026333558406482105
2009-11-02,30.26,34.5,29.2,30.47,1601000,30.47,0.0023026315789473895
2009-12-01,30.67,33.65,30.53,31.8,656700,31.8,0.04364949130292106
2010-01-04,31.96,35.1,29.2,29.56,920200,29.56,-0.07044025157232714
2010-02-01,29.62,30.08,27.87,29.98,662300,29.98,0.01420838971583227
2010-03-01,28.09,36.62,27.9,36.1,1373900,36.1,0.20413609072715144
2010-04-01,36.32,38.61,34.63,34.65,670000,34.65,-0.040166204986149645
2010-05-03,34.89,34.93,28.39,29.65,1005700,29.65,-0.14430014430014426
2010-06-01,29.44,30.67,26.85,27.4,1480600,27.4,-0.07588532883642496
2010-07-01,28.42,33.58,26.89,32.27,732200,32.27,0.17773722627737243
2010-08-02,32.57,33.45,29.02,29.9,441400,29.9,-0.07344282615432307
2010-09-01,30.35,35.36,30.21,33.21,585500,33.21,0.11070234113712374
2010-10-01,33.47,37.44,33.33,35.85,589100,35.85,0.079494128274616
2010-11-01,36.05,37.71,33.96,34.06,614100,34.06,-0.04993026499302644
2010-12-01,34.61,40.79,34.52,38.96,469700,38.96,0.14386376981796833
2011-01-03,39.38,40.2,34.0,34.23,936100,34.23,-0.12140657084188922
2011-02-01,34.52,37.05,33.84,35.5,1079900,35.5,0.03710195734735611
2011-03-01,35.53,36.89,33.43,36.82,668300,36.82,0.037183098591549335
2011-04-01,36.99,38.51,33.64,35.47,594600,35.47,-0.03666485605649106
2011-05-02,35.66,38.62,34.6,37.77,568000,37.77,0.06484352974344532
2011-06-01,37.64,38.47,35.8,37.68,653600,37.68,-0.002382843526608558
2011-07-01,37.82,39.02,35.26,35.49,537100,35.49,-0.05812101910828016
2011-08-01,35.86,36.03,30.11,34.57,990000,34.57,-0.025922795153564437
