Date,Open,High,Low,Close,Volume,Adj Close,Return
1988-12-16,4.22,4.35,4.06,4.27,22000,1.22,0.0
1989-01-03,4.34,4.34,2.64,3.52,34200,1.01,-0.17213114754098358
1989-02-01,3.52,3.79,2.51,2.78,15300,0.79,-0.2178217821782178
1989-03-01,2.78,3.12,1.63,1.76,18200,0.5,-0.3670886075949368
1989-04-03,1.83,1.83,1.29,1.69,20900,0.48,-0.040000000000000036
1989-05-01,1.83,2.1,1.69,1.83,9100,0.52,0.08333333333333348
1989-06-01,1.9,2.57,1.76,1.96,11500,0.56,0.0769230769230771
1989-07-03,2.03,2.24,1.83,2.17,7500,0.62,0.10714285714285698
1989-08-01,2.1,2.64,2.03,2.44,7500,0.7,0.12903225806451601
1989-09-01,2.37,2.37,2.03,2.1,8700,0.6,-0.1428571428571428
1989-10-02,2.1,2.37,1.9,2.37,8500,0.68,0.13333333333333353
1989-11-01,2.37,2.57,2.17,2.3,10200,0.66,-0.02941176470588236
1989-12-01,2.3,2.37,1.54,1.82,23400,0.55,-0.16666666666666663
1990-01-02,1.75,1.89,1.4,1.54,8400,0.47,-0.14545454545454561
1990-02-01,1.47,1.54,1.12,1.26,12200,0.38,-0.1914893617021276
1990-03-01,1.26,1.4,1.19,1.33,6000,0.41,0.07894736842105265
1990-04-02,1.33,1.33,1.19,1.19,5400,0.36,-0.12195121951219512
1990-05-01,1.26,1.89,1.26,1.82,7400,0.55,0.5277777777777779
1990-06-01,1.75,1.89,1.75,1.89,5700,0.58,0.05454545454545445
1990-07-02,1.89,2.38,1.75,2.38,15500,0.73,0.2586206896551724
1990-08-01,2.31,2.31,1.96,2.1,7400,0.64,-0.12328767123287665
1990-09-04,2.1,2.31,2.03,2.17,7200,0.66,0.03125
1990-10-01,2.17,2.38,2.03,2.31,6500,0.7,0.06060606060606055
1990-11-01,2.24,2.66,2.24,2.52,9300,0.77,0.10000000000000009
1990-12-03,2.52,3.33,2.43,3.15,28500,1.58,1.051948051948052
1991-01-02,3.15,4.05,3.06,3.96,17200,1.99,0.2594936708860758
1991-02-01,3.96,4.95,3.87,4.77,32200,2.4,0.20603015075376874
1991-03-01,4.68,6.13,4.59,5.84,41500,3.21,0.33750000000000013
1991-04-01,5.84,6.23,5.55,6.03,16400,3.31,0.031152647975077885
1991-05-01,6.13,7.18,6.03,7.09,29800,3.89,0.17522658610271913
1991-06-03,7.18,7.28,5.27,6.97,31400,4.1,0.05398457583547556
1991-07-01,6.97,7.07,6.26,6.87,17300,4.04,-0.014634146341463317
