Date,Open,High,Low,Close,Volume,Adj Close,Return
2003-10-09,23.47,23.79,22.94,23.79,107300,12.49,0.0
2003-11-03,23.8,24.3,23.62,24.18,56300,12.69,0.01601281024819845
2003-12-01,24.12,25.28,23.9,24.13,76700,12.86,0.013396375098502666
2004-01-02,24.17,24.74,23.97,24.56,135900,13.09,0.017884914463452528
2004-02-02,24.59,24.63,24.38,24.53,87500,13.07,-0.0015278838808250317
2004-03-01,24.58,25.05,24.58,24.75,80400,13.38,0.023718439173680217
2004-04-01,24.74,24.74,22.3,22.44,64000,12.13,-0.09342301943198805
2004-05-03,22.34,22.42,20.0,22.28,75000,12.04,-0.007419620774938296
2004-06-01,22.28,22.34,20.59,21.01,41100,11.55,-0.0406976744186045
2004-07-01,20.95,23.28,20.91,23.28,43300,12.8,0.10822510822510822
2004-08-02,23.28,23.6,23.05,23.56,34700,12.95,0.011718749999999778
2004-09-01,23.6,24.23,23.32,23.5,40600,13.11,0.01235521235521242
2004-10-01,23.5,24.27,23.38,23.77,32600,13.27,0.012204424103737566
2004-11-01,23.7,24.13,23.35,23.93,47600,13.35,0.006028636021100153
2004-12-01,23.83,24.74,23.75,24.51,54000,13.88,0.03970037453183539
2005-01-03,24.5,24.65,24.14,24.35,49400,13.79,-0.00648414985590795
2005-02-01,24.37,24.89,24.28,24.6,56200,13.93,0.010152284263959421
2005-03-01,24.56,24.67,22.98,22.98,45200,13.22,-0.05096913137114134
2005-04-01,23.0,23.45,22.75,23.3,51100,13.4,0.013615733736762392
2005-05-02,23.2,23.85,22.91,23.78,39600,13.68,0.020895522388059584
2005-06-01,23.75,24.39,23.66,23.75,29300,13.66,-0.0014619883040934978
2005-07-01,23.75,24.47,23.6,24.29,29500,13.97,0.022693997071742356
2005-08-01,24.4,24.53,24.06,24.4,22700,14.03,0.0042949176807443035
2005-09-01,24.48,24.65,23.97,24.07,36100,14.05,0.0014255167498218313
2005-10-03,24.05,24.09,22.72,22.88,27500,13.36,-0.04911032028469764
2005-11-01,22.82,22.98,22.06,22.44,30100,13.1,-0.019461077844311392
2005-12-01,22.5,23.25,22.39,22.75,26900,13.49,0.02977099236641223
2006-01-03,22.75,23.33,22.68,23.08,29900,13.69,0.014825796886582587
2006-02-01,23.03,23.78,23.0,23.57,28600,13.98,0.02118334550766998
2006-03-01,23.57,23.78,22.57,22.76,34300,13.71,-0.01931330472102999
2006-04-03,22.7,22.75,21.15,21.51,40000,12.95,-0.05543398978847569
2006-05-01,21.45,21.85,21.11,21.67,29300,13.05,0.007722007722007929
2006-06-01,21.68,22.18,20.8,20.99,20300,12.86,-0.014559386973180155
2006-07-03,21.05,21.92,20.9,21.87,40600,13.4,0.04199066874028001
2006-08-01,21.8,23.28,21.8,23.18,39100,14.2,0.05970149253731338
2006-09-01,23.08,23.42,22.83,23.28,24800,14.48,0.019718309859154903
2006-10-02,23.28,23.42,23.07,23.35,42800,14.52,0.0027624309392264568
2006-11-01,23.34,24.18,23.15,23.8,36000,14.8,0.019283746556473913
2006-12-01,23.84,24.3,23.73,23.82,44700,15.04,0.01621621621621605
2007-01-03,23.8,24.16,23.63,23.99,39600,15.15,0.007313829787234161
2007-02-01,23.92,24.2,23.65,23.93,25900,15.11,-0.0026402640264027166
2007-03-01,23.86,24.2,23.8,23.86,21300,15.29,0.011912640635340921
2007-04-02,23.84,24.05,23.65,23.7,25600,15.19,-0.0065402223675604665
2007-05-01,23.7,23.75,22.95,23.06,27500,14.78,-0.02699144173798551
2007-06-01,23.08,23.09,21.96,22.18,22100,14.45,-0.022327469553450663
2007-07-02,22.17,22.8,20.75,21.49,21600,14.0,-0.03114186851211065
2007-08-01,21.5,22.05,19.02,21.74,22800,14.16,0.011428571428571344
2007-09-04,21.71,22.38,21.16,21.35,19300,14.14,-0.0014124293785310327
2007-10-01,21.35,22.13,20.8,20.9,15900,13.85,-0.020509193776520607
2007-11-01,20.87,20.98,17.5,19.31,43800,12.79,-0.07653429602888095
2007-12-03,19.5,20.09,17.24,17.5,63600,11.82,-0.07584050039093038
2008-01-02,17.64,21.99,17.55,21.12,53400,14.27,0.2072758037225042
2008-02-01,21.13,22.4,20.15,20.33,32900,13.73,-0.03784162578836714
2008-03-03,20.31,20.6,16.95,19.15,25900,13.18,-0.0400582665695558
2008-04-01,19.12,20.34,18.94,19.69,16400,13.55,0.028072837632777015
2008-05-01,19.68,20.37,19.44,20.18,21400,13.88,0.02435424354243554
2008-06-02,20.47,20.47,16.05,16.95,30000,11.9,-0.14265129682997124
2008-07-01,16.83,18.05,12.0,18.04,30700,12.67,0.06470588235294117
2008-08-01,17.9,18.13,16.67,17.65,13900,12.39,-0.022099447513812098
2008-09-02,17.72,18.25,6.81,10.82,108600,7.81,-0.36965294592413245
2008-10-01,10.47,14.05,2.86,13.06,157900,9.43,0.2074263764404609
2008-11-03,13.82,13.9,7.5,12.41,55800,8.96,-0.049840933191940495
2008-12-01,12.0,13.92,11.07,13.85,71100,10.27,0.14620535714285698
2009-01-02,14.27,15.72,11.93,14.51,77500,10.76,0.04771178188899716
2009-02-02,14.5,14.84,9.68,12.2,69000,9.05,-0.15892193308550173
2009-03-02,11.25,14.92,9.15,13.43,75800,10.21,0.12817679558011053
2009-04-01,13.33,15.18,13.23,14.95,40700,11.36,0.11263467189030352
2009-05-01,14.77,17.62,14.72,16.7,43500,12.69,0.11707746478873249
2009-06-01,16.99,18.44,16.67,18.05,47600,13.99,0.10244286840031536
2009-07-01,18.05,19.09,17.51,18.81,44100,14.58,0.04217298070050024
2009-08-03,18.86,19.57,18.28,18.6,37200,14.42,-0.010973936899862813
2009-09-01,18.51,21.26,18.15,19.71,42200,15.55,0.07836338418862687
2009-10-01,19.71,20.2,19.13,19.5,33700,15.38,-0.010932475884244397
2009-11-02,19.52,19.56,18.56,18.95,41600,14.95,-0.027958387516255012
2009-12-01,18.93,20.1,18.84,19.65,32100,15.78,0.05551839464882935
2010-01-04,19.76,20.29,19.49,20.06,34200,16.11,0.02091254752851701
