Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-10-06,19.5,28.75,19.0,27.0,427800,6.12,0.0
1995-11-01,26.5,39.0,25.5,31.5,211300,7.14,0.16666666666666652
1995-12-01,31.5,35.0,26.25,32.62,61600,7.4,0.036414565826330625
1996-01-02,32.0,36.25,27.5,33.5,185300,7.59,0.025675675675675524
1996-02-01,34.0,34.0,28.0,28.75,84900,6.52,-0.14097496706192358
1996-03-01,28.75,29.5,20.75,26.75,217200,6.06,-0.07055214723926384
1996-04-01,27.0,33.25,24.38,32.94,191600,7.47,0.23267326732673266
1996-05-01,33.0,34.5,27.0,27.75,142500,6.29,-0.1579651941097724
1996-06-03,27.0,28.25,23.5,25.0,120400,5.67,-0.09856915739268679
1996-07-01,24.25,25.0,16.5,18.5,113300,4.19,-0.26102292768959423
1996-08-01,18.5,23.75,17.75,22.0,151400,4.99,0.19093078758949877
1996-09-03,21.5,27.0,21.5,25.5,130200,5.78,0.1583166332665331
1996-10-01,25.25,30.0,24.5,24.75,187000,5.61,-0.02941176470588236
1996-11-01,24.75,30.5,20.0,25.5,546100,5.78,0.030303030303030276
1996-12-02,25.5,26.0,22.5,25.25,243400,5.72,-0.01038062283737029
1997-01-02,25.25,38.75,24.25,38.5,519000,8.73,0.5262237762237765
1997-02-03,38.75,46.0,35.25,36.25,501000,8.22,-0.05841924398625431
1997-03-03,36.12,41.25,31.25,34.5,502100,7.82,-0.048661800486618056
1997-04-01,35.0,35.5,20.75,24.88,580700,5.64,-0.27877237851662406
1997-05-01,25.0,28.0,22.88,26.5,351800,6.01,0.06560283687943258
1997-06-02,26.25,30.12,26.25,27.0,151700,6.12,0.01830282861896837
1997-07-01,27.25,27.75,24.0,25.75,192700,5.84,-0.045751633986928164
1997-08-01,26.0,27.38,23.0,23.75,214900,5.38,-0.07876712328767121
1997-09-02,23.75,28.12,22.75,25.94,169400,5.88,0.09293680297397766
1997-10-01,27.0,30.0,21.5,26.0,183700,5.89,0.001700680272108901
1997-11-03,26.0,28.0,24.5,27.5,142100,6.23,0.05772495755517837
1997-12-01,27.5,27.5,22.12,24.25,131100,5.5,-0.1171749598715891
1998-01-02,24.25,25.62,21.5,22.25,183000,5.04,-0.08363636363636362
1998-02-02,21.75,23.0,18.19,19.25,405600,4.36,-0.13492063492063489
1998-03-02,19.38,24.75,19.38,22.38,294100,5.07,0.16284403669724767
1998-04-01,22.88,23.62,19.62,20.75,122300,4.7,-0.07297830374753456
1998-05-01,20.5,21.88,19.62,20.12,95500,4.56,-0.029787234042553346
1998-06-01,20.12,20.12,14.0,14.62,161100,3.32,-0.27192982456140347
1998-07-01,14.75,16.0,12.62,12.62,102300,2.86,-0.13855421686746983
1998-08-03,12.62,13.88,5.75,7.5,111600,1.7,-0.4055944055944056
1998-09-01,7.5,14.0,7.12,11.81,154000,2.68,0.5764705882352943
1998-10-01,10.75,12.38,9.38,10.0,113500,2.27,-0.15298507462686572
1998-11-02,10.62,12.5,9.5,11.12,164700,2.52,0.11013215859030834
1998-12-01,10.75,11.25,7.88,10.0,139400,2.27,-0.09920634920634919
1999-01-04,10.0,11.5,9.0,10.25,78300,2.32,0.022026431718061623
1999-02-01,10.25,11.25,8.5,9.38,89600,2.13,-0.0818965517241379
1999-03-01,9.0,9.94,8.5,9.0,62100,2.04,-0.04225352112676051
1999-04-01,9.0,10.0,8.88,9.75,38100,2.21,0.08333333333333326
1999-05-03,10.0,12.38,9.75,10.38,121200,2.35,0.06334841628959276
1999-06-01,10.25,10.38,8.75,9.0,78700,2.04,-0.13191489361702124
1999-07-01,9.0,11.47,8.62,10.38,80900,2.35,0.15196078431372562
1999-08-02,10.25,15.38,9.5,11.75,197700,2.66,0.13191489361702136
1999-09-01,12.0,19.5,11.62,17.0,271600,3.85,0.44736842105263164
1999-10-01,17.0,19.88,16.5,17.88,130200,4.05,0.051948051948051965
1999-11-01,17.88,35.5,17.62,33.12,327100,7.51,0.854320987654321
1999-12-01,33.5,50.75,30.5,46.0,273400,10.43,0.3888149134487351
