Date,Open,High,Low,Close,Volume,Adj Close,Return
1991-11-25,8.75,8.9,8.75,8.83,16200,1.82,0.0
1991-12-02,8.83,9.17,8.83,9.02,19100,1.88,0.03296703296703285
1992-01-02,8.95,9.37,8.95,9.37,21100,1.97,0.0478723404255319
1992-02-03,9.37,9.42,9.12,9.2,20100,1.95,-0.010152284263959421
1992-03-02,9.2,9.5,8.87,9.02,25500,1.93,-0.01025641025641022
1992-04-01,9.1,9.4,9.0,9.37,18400,2.02,0.04663212435233155
1992-05-01,9.37,9.52,9.04,9.2,20500,2.0,-0.00990099009900991
1992-06-01,9.2,9.55,9.09,9.55,26700,2.1,0.050000000000000044
1992-07-01,9.48,10.07,9.4,9.99,34000,2.22,0.05714285714285716
1992-08-03,10.07,10.14,9.81,9.89,25400,2.21,-0.0045045045045045695
1992-09-01,9.81,9.96,9.5,9.71,27100,2.19,-0.009049773755656076
1992-10-01,9.63,9.99,9.29,9.76,21400,2.22,0.013698630136986356
1992-11-02,9.76,10.12,9.76,9.97,20400,2.29,0.03153153153153143
1992-12-01,9.89,10.2,9.62,10.1,18500,2.34,0.02183406113537112
1993-01-04,10.1,10.39,9.99,10.15,13000,2.37,0.012820512820512997
1993-02-01,10.15,10.61,10.13,10.29,19400,2.42,0.021097046413502074
1993-03-01,10.37,10.98,10.26,10.42,19400,2.47,0.02066115702479343
1993-04-01,10.34,10.96,10.34,10.8,11500,2.58,0.04453441295546545
1993-05-03,10.8,10.96,10.39,10.47,19700,2.54,-0.015503875968992276
1993-06-01,10.47,10.96,10.47,10.85,17300,2.65,0.04330708661417315
1993-07-01,10.69,11.32,10.69,10.91,18700,2.68,0.01132075471698113
1993-08-02,10.91,11.4,10.83,11.24,15400,2.8,0.04477611940298498
1993-09-01,11.24,11.46,11.05,11.21,11500,2.81,0.0035714285714285587
1993-10-01,11.13,11.52,11.13,11.35,18800,2.87,0.021352313167259718
1993-11-01,11.44,11.44,10.51,10.85,17000,2.77,-0.03484320557491294
1993-12-01,10.85,11.17,10.67,11.09,14400,2.86,0.032490974729241895
1994-01-03,11.09,11.65,11.0,11.48,15900,2.99,0.045454545454545636
1994-02-01,11.4,11.48,10.43,10.52,28800,2.75,-0.08026755852842815
1994-03-01,10.6,11.37,10.23,10.4,23500,2.75,0.0
1994-04-04,10.4,10.81,9.85,10.46,20800,2.78,0.010909090909090757
1994-05-02,10.37,10.87,10.34,10.61,15100,2.85,0.02517985611510798
1994-06-01,10.61,10.93,10.52,10.66,11500,2.88,0.010526315789473717
1994-07-01,10.66,10.99,10.55,10.81,14600,2.95,0.02430555555555558
1994-08-01,10.81,11.05,10.73,10.96,12000,3.01,0.02033898305084736
1994-09-01,11.05,11.05,10.76,10.76,11800,2.98,-0.009966777408637828
1994-10-03,10.76,10.94,10.1,10.19,12300,2.85,-0.043624161073825496
1994-11-01,10.19,10.44,9.27,10.17,33000,2.86,0.0035087719298245723
1994-12-01,10.17,10.53,9.42,10.14,41000,2.88,0.006993006993007089
1995-01-03,10.05,10.57,10.05,10.57,11500,3.03,0.05208333333333326
1995-02-01,10.57,11.2,10.54,11.0,15900,3.18,0.04950495049504955
1995-03-01,11.0,11.06,10.6,11.06,14300,3.22,0.012578616352201255
1995-04-03,11.06,11.34,10.94,11.12,15000,3.26,0.012422360248447006
1995-05-01,11.21,11.56,11.09,11.46,14800,3.39,0.039877300613497146
1995-06-01,11.56,11.65,11.06,11.25,18100,3.35,-0.01179941002949858
1995-07-03,11.25,11.69,11.12,11.31,14100,3.4,0.014925373134328401
1995-08-01,11.31,11.57,11.22,11.38,11100,3.44,0.0117647058823529
1995-09-01,11.47,11.76,11.25,11.63,16800,3.54,0.029069767441860517
1995-10-02,11.63,12.08,11.6,11.98,16600,3.68,0.039548022598870025
1995-11-01,12.08,12.24,11.95,12.15,22900,3.76,0.021739130434782483
1995-12-01,12.05,12.53,12.05,12.31,17300,3.83,0.018617021276595924
1996-01-02,12.31,12.57,12.18,12.57,12700,3.94,0.02872062663185382
1996-02-01,12.57,12.64,12.38,12.64,14000,3.99,0.012690355329949332
1996-03-01,12.64,12.8,12.54,12.71,9600,4.04,0.012531328320801949
1996-04-01,12.71,12.9,12.48,12.77,11500,4.09,0.012376237623762387
1996-05-01,12.77,12.84,12.48,12.65,9800,4.07,-0.004889975550122161
1996-06-03,12.55,12.74,12.31,12.61,8800,4.09,0.004914004914004844
1996-07-01,12.61,12.68,12.38,12.58,9600,4.11,0.004889975550122383
1996-08-01,12.58,12.95,12.58,12.64,11000,4.15,0.009732360097323589
1996-09-03,12.64,12.81,12.51,12.81,15600,4.24,0.02168674698795181
1996-10-01,12.71,13.08,12.67,13.08,11400,4.35,0.02594339622641506
1996-11-01,12.98,13.35,12.98,13.25,15600,4.44,0.020689655172414056
1996-12-02,13.35,13.35,13.01,13.32,12300,4.49,0.011261261261261257
1997-01-02,13.22,13.8,13.11,13.28,14500,4.5,0.00222717149220486
1997-02-03,13.28,13.66,13.14,13.56,11700,4.63,0.028888888888888964
1997-03-03,13.56,13.66,13.1,13.1,11600,4.5,-0.028077753779697567
1997-04-01,13.21,13.38,13.0,13.38,16200,4.62,0.026666666666666616
1997-05-01,13.38,13.77,13.28,13.56,14000,4.71,0.01948051948051943
1997-06-02,13.66,14.05,13.5,13.89,13400,4.86,0.031847133757961776
1997-07-01,13.89,14.33,13.78,14.33,11200,5.04,0.03703703703703698
1997-08-01,14.33,14.51,14.08,14.19,10800,5.02,-0.003968253968254065
1997-09-02,14.3,14.73,14.19,14.69,11300,5.22,0.03984063745019917
1997-10-01,14.69,14.92,14.11,14.33,9800,5.12,-0.019157088122605304
1997-11-03,14.44,15.0,14.22,14.94,9600,5.37,0.048828125
1997-12-01,15.0,15.05,14.03,14.91,12300,5.39,0.003724394785847185
1998-01-02,14.91,15.31,14.7,14.76,12800,5.37,-0.0037105751391465214
1998-02-02,14.81,15.33,14.76,15.05,10800,5.5,0.024208566108007368
1998-03-02,14.94,15.51,14.83,15.29,13400,5.62,0.021818181818181737
1998-04-01,15.23,15.51,14.86,15.19,12100,5.61,-0.001779359430604921
1998-05-01,15.14,15.77,15.08,15.71,10200,5.84,0.04099821746880572
1998-06-01,15.77,16.01,15.21,15.79,9700,5.9,0.010273972602739878
1998-07-01,15.62,16.47,15.62,15.75,7700,5.91,0.0016949152542371504
1998-08-03,15.81,15.86,15.37,15.37,9800,5.8,-0.01861252115059231
1998-09-01,15.42,16.24,15.31,16.12,8300,6.11,0.05344827586206913
1998-10-01,16.18,16.37,15.97,16.25,12800,6.19,0.013093289689034338
1998-11-02,16.31,16.5,15.92,16.33,10900,6.25,0.009693053311793154
