Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-05-26,10.0,10.37,10.0,10.37,3455200,0.2,0.0
1994-06-01,10.37,10.37,7.0,7.37,1234200,0.14,-0.29999999999999993
1994-07-01,7.25,8.5,7.19,7.62,744900,0.14,0.0
1994-08-01,7.62,9.5,7.37,8.87,275200,0.17,0.2142857142857142
1994-09-01,9.25,9.25,7.75,7.87,359300,0.15,-0.11764705882352955
1994-10-03,7.75,8.0,7.06,7.5,478500,0.14,-0.06666666666666654
1994-11-01,7.12,7.37,6.37,6.62,399100,0.12,-0.14285714285714302
1994-12-01,6.62,7.12,6.25,6.5,442100,0.12,0.0
1995-01-03,6.75,8.0,6.75,7.12,365600,0.13,0.08333333333333348
1995-02-01,7.5,8.5,6.75,8.37,651700,0.16,0.23076923076923084
1995-03-01,8.25,8.75,7.5,8.12,326900,0.15,-0.0625
1995-04-03,8.25,10.5,7.5,10.25,1302800,0.19,0.26666666666666683
1995-05-01,10.5,11.38,10.0,10.25,1451600,0.19,0.0
1995-06-01,10.63,15.38,10.25,13.25,2953900,0.25,0.3157894736842106
1995-07-03,13.25,17.62,13.25,16.94,3126100,0.32,0.28
1995-08-01,17.12,17.5,14.13,15.5,1517200,0.29,-0.09375000000000011
1995-09-01,15.38,20.5,15.38,18.75,2088200,0.35,0.2068965517241379
1995-10-02,18.62,19.37,16.25,17.0,1095500,0.32,-0.08571428571428563
1995-11-01,17.37,17.37,14.63,15.25,646000,0.29,-0.09375000000000011
1995-12-01,15.25,15.38,12.5,12.88,520100,0.24,-0.1724137931034483
1996-01-02,12.88,16.0,12.88,14.75,631600,0.28,0.16666666666666674
1996-02-01,14.25,17.0,13.63,16.75,935400,0.32,0.1428571428571428
1996-03-01,16.75,18.0,15.88,17.62,740000,0.33,0.03125
1996-04-01,18.12,32.75,17.62,27.75,3713300,0.52,0.5757575757575757
1996-05-01,28.0,33.0,21.25,25.37,779400,0.72,0.3846153846153846
1996-06-03,25.75,29.0,21.0,22.25,864200,0.63,-0.125
1996-07-01,22.25,26.0,18.0,20.0,698300,0.57,-0.09523809523809534
1996-08-01,21.0,24.5,19.75,23.25,302000,0.66,0.1578947368421053
1996-09-03,23.0,31.25,22.5,31.0,758200,0.88,0.33333333333333326
1996-10-01,31.0,39.0,30.5,34.5,602300,0.98,0.11363636363636354
1996-11-01,35.5,42.75,34.5,38.0,700900,1.07,0.09183673469387754
1996-12-02,38.0,39.5,13.75,14.25,544800,0.81,-0.2429906542056075
1997-01-02,14.25,18.25,14.25,18.0,420600,1.02,0.2592592592592593
1997-02-03,18.0,18.0,14.5,15.5,1072500,0.88,-0.13725490196078427
1997-03-03,15.5,17.75,14.0,16.5,484300,0.93,0.05681818181818188
