Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-07-01,19.95,21.58,18.76,21.47,5200,20.15,0.0
2009-08-03,21.9,23.37,21.01,21.53,6200,20.21,0.0029776674937966874
2009-09-01,21.55,22.97,20.6,22.15,7000,20.79,0.02869866402770893
2009-10-01,22.33,22.62,20.94,20.97,2500,19.68,-0.05339105339105332
2009-11-02,20.85,21.94,20.55,21.54,1500,20.22,0.027439024390243816
2009-12-01,21.63,22.72,21.55,22.42,1900,21.18,0.04747774480712175
2010-01-04,22.7,24.25,22.47,23.41,4200,22.12,0.04438149197356012
2010-02-01,23.73,24.14,22.21,23.85,4100,22.54,0.018987341772151778
2010-03-01,23.87,26.1,23.65,25.43,5300,24.03,0.0661047027506656
2010-04-01,25.45,28.12,25.22,26.94,5600,25.46,0.059508947149396585
2010-05-03,27.0,27.55,20.0,24.53,9700,23.18,-0.08955223880597019
2010-06-01,24.29,24.85,22.6,22.77,5000,21.64,-0.0664365832614322
2010-07-01,22.54,23.95,21.87,23.46,3500,22.3,0.030499075785582308
2010-08-02,23.88,23.89,20.42,20.56,3900,19.54,-0.12376681614349783
2010-09-01,20.7,22.3,20.7,22.07,5200,20.98,0.07369498464687818
2010-10-01,22.17,22.86,21.75,21.92,11900,20.83,-0.007149666348903794
2010-11-01,21.86,23.45,21.41,22.04,8100,20.95,0.005760921747479664
2010-12-01,22.35,25.39,22.35,25.05,8500,23.97,0.14415274463007166
2011-01-03,25.29,25.83,24.46,24.65,12800,23.59,-0.015853149770546526
2011-02-01,24.87,25.62,24.6,25.1,3900,24.02,0.01822806273844857
2011-03-01,24.92,25.45,24.19,25.16,3000,24.08,0.0024979184013320666
2011-04-01,25.34,25.81,24.6,25.51,2800,24.41,0.013704318936877069
2011-05-02,25.37,25.49,24.25,24.88,2800,23.81,-0.024580090126997245
2011-06-01,24.98,24.98,23.21,24.44,2100,23.56,-0.010499790004199872
2011-07-01,24.69,25.11,23.61,23.69,2700,22.83,-0.030984719864176613
2011-08-01,23.55,23.63,19.3,21.51,4900,20.73,-0.0919842312746385
2011-09-01,21.36,21.36,18.58,19.2,7600,18.51,-0.1070911722141823
2011-10-03,19.23,23.12,18.36,22.73,3800,21.91,0.18368449486763905
2011-11-01,21.95,22.75,20.64,22.58,2300,21.76,-0.006846188954815036
2011-12-01,22.33,24.01,21.9,22.96,2200,22.32,0.025735294117646967
2012-01-03,23.6,24.95,23.29,24.0,4600,23.33,0.04525089605734767
2012-02-01,24.48,25.12,24.1,24.51,18900,23.83,0.021431633090441604
2012-03-01,24.5,26.56,23.65,25.94,6300,25.22,0.058329836340746954
2012-04-02,25.87,26.12,24.56,25.55,9300,24.84,-0.015067406819984086
2012-05-01,25.55,25.89,23.95,24.51,4000,23.83,-0.04066022544283421
2012-06-01,24.04,25.07,23.18,25.0,4900,24.48,0.027276542173730656
2012-07-02,25.08,25.94,24.44,24.87,2200,24.35,-0.00531045751633985
2012-08-01,24.87,25.87,24.21,25.48,1400,24.95,0.024640657084188833
2012-09-04,25.38,26.93,25.34,26.05,3300,25.59,0.025651302605210535
2012-10-01,26.11,26.93,25.29,25.61,2000,25.16,-0.016803438843298157
2012-11-01,25.56,26.8,23.79,25.2,8100,24.76,-0.015898251192368762
2012-12-03,25.19,26.08,24.53,25.54,2500,25.33,0.023021001615508796
2013-01-02,26.41,27.32,26.04,26.8,2300,26.58,0.049348598499802554
2013-02-01,27.05,27.76,26.82,27.31,6600,27.09,0.019187358916478603
2013-03-01,27.31,28.8,26.93,28.65,8200,28.47,0.05094130675526021
2013-04-01,28.52,28.57,26.69,27.73,7300,27.56,-0.03196347031963476
2013-05-01,28.3,29.89,27.16,29.31,13300,29.13,0.05696661828737293
2013-06-03,29.45,30.48,28.7,30.31,18500,30.23,0.03776175763817369
2013-07-01,30.31,33.46,30.31,32.8,28300,32.71,0.08203771088322864
2013-08-01,33.13,34.07,31.21,31.25,16400,31.17,-0.04708040354631604
2013-09-03,31.89,32.54,31.1,32.06,13800,32.06,0.028553095925569538
2013-10-01,32.41,34.99,31.5,33.67,12100,33.67,0.05021834061135366
2013-11-01,33.38,35.0,33.28,34.3,7300,34.3,0.018711018711018657
