Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-03-03,5.0,5.0,4.25,4.31,2700,1.29,0.0
1992-04-01,4.25,4.75,3.5,4.0,4700,1.24,-0.03875968992248069
1992-05-01,4.0,4.5,4.0,4.5,1200,1.4,0.12903225806451601
1992-06-01,4.25,4.75,4.25,4.5,4100,1.4,0.0
1992-07-01,4.25,4.5,3.75,4.0,4900,1.24,-0.11428571428571421
1992-08-03,4.13,4.5,3.63,3.75,13300,1.16,-0.06451612903225812
1992-09-01,3.88,4.75,3.75,4.75,3100,1.47,0.267241379310345
1992-10-01,4.75,4.75,4.0,4.13,3500,1.28,-0.12925170068027203
1992-11-02,4.0,4.75,4.0,4.75,3000,1.47,0.1484375
1992-12-01,4.75,4.75,3.88,4.0,42100,1.24,-0.15646258503401356
1993-01-04,4.75,4.75,4.0,4.25,4100,1.32,0.06451612903225823
1993-02-01,4.0,4.75,4.0,4.75,6600,1.47,0.11363636363636354
1993-03-01,4.75,7.5,4.25,6.75,14300,2.09,0.4217687074829932
1993-04-01,6.75,7.25,6.0,6.25,4800,2.04,-0.023923444976076458
1993-05-03,6.25,6.25,5.0,5.25,5100,1.71,-0.16176470588235292
1993-06-01,5.25,6.25,5.0,5.75,3100,1.87,0.0935672514619883
1993-07-01,5.75,6.25,5.5,6.25,3900,2.04,0.09090909090909083
1993-08-02,6.25,8.25,5.75,8.25,13300,2.69,0.31862745098039214
1993-09-01,8.25,8.5,7.75,8.25,11300,2.69,0.0
1993-10-01,8.25,8.25,7.75,7.88,13800,2.57,-0.044609665427509326
1993-11-01,8.25,8.25,7.5,7.75,9300,2.53,-0.015564202334630406
1993-12-01,7.75,7.75,6.75,6.88,5400,2.24,-0.11462450592885365
1994-01-03,6.88,7.5,6.75,7.5,1100,2.44,0.08928571428571419
1994-02-01,7.5,8.75,7.0,8.75,17200,2.85,0.16803278688524603
1994-03-01,8.75,9.75,8.0,9.75,16200,3.18,0.11578947368421044
1994-04-04,9.25,10.75,9.25,10.38,10700,3.58,0.12578616352201255
1994-05-02,10.0,10.75,10.0,10.25,11300,3.54,-0.011173184357541888
1994-06-01,10.25,10.5,8.75,9.75,7900,3.37,-0.04802259887005644
1994-07-01,9.75,9.75,8.75,9.75,1700,3.37,0.0
1994-08-01,9.0,9.75,8.75,9.5,1800,3.28,-0.02670623145400597
1994-09-01,9.5,9.75,8.75,8.75,6000,3.02,-0.07926829268292679
1994-10-03,8.75,9.13,8.0,8.75,3500,3.02,0.0
1994-11-01,8.75,8.75,7.0,8.0,4200,2.76,-0.08609271523178819
1994-12-01,8.0,8.0,7.0,7.5,3700,2.59,-0.061594202898550665
1995-01-03,7.5,8.25,7.5,8.0,2200,2.76,0.0656370656370655
1995-02-01,8.0,9.25,8.0,8.25,11000,2.85,0.03260869565217406
1995-03-01,8.25,8.75,7.75,8.25,6500,2.85,0.0
1995-04-03,8.25,9.0,7.75,8.0,12100,2.76,-0.03157894736842115
1995-05-01,8.0,8.75,7.75,8.0,4200,2.76,0.0
1995-06-01,7.75,8.5,7.75,8.0,8700,2.76,0.0
1995-07-03,7.88,10.5,7.88,10.5,17800,3.66,0.32608695652173925
1995-08-01,9.75,10.5,9.25,9.75,11900,3.4,-0.0710382513661203
1995-09-01,9.75,10.75,9.5,10.75,9000,3.75,0.10294117647058831
1995-10-02,10.0,10.75,9.75,10.25,3700,3.61,-0.03733333333333333
1995-11-01,10.25,10.5,9.5,9.5,6300,3.34,-0.07479224376731297
1995-12-01,9.75,10.0,9.0,9.75,5900,3.43,0.026946107784431295
1996-01-02,9.0,9.75,8.75,8.88,4400,3.14,-0.08454810495626819
1996-02-01,8.88,10.0,8.88,9.75,8400,3.45,0.09872611464968162
1996-03-01,9.75,11.0,9.5,10.75,17900,3.81,0.10434782608695659
1996-04-01,10.88,11.25,9.5,10.0,4800,3.78,-0.007874015748031593
1996-05-01,10.0,11.0,10.0,10.13,11800,3.83,0.013227513227513255
1996-06-03,11.0,11.0,10.13,10.13,7700,3.83,0.0
1996-07-01,10.13,10.5,9.5,9.5,22800,3.61,-0.05744125326370764
1996-08-01,9.5,10.5,9.5,10.25,6000,3.9,0.08033240997229929
1996-09-03,10.13,11.0,10.0,10.38,10200,3.95,0.012820512820512997
1996-10-01,10.38,11.75,10.38,11.25,6200,4.3,0.08860759493670867
1996-11-01,10.75,11.75,10.63,10.88,7900,4.16,-0.03255813953488362
1996-12-02,10.75,12.0,10.75,11.5,6500,4.39,0.05528846153846145
1997-01-02,11.5,14.0,11.5,13.63,16100,5.25,0.19589977220956722
1997-02-03,14.0,15.5,13.25,14.5,11100,5.59,0.0647619047619048
1997-03-03,14.5,15.38,14.0,14.0,5600,5.4,-0.03398926654740597
1997-04-01,14.06,14.75,13.13,13.75,8100,5.57,0.031481481481481444
1997-05-01,13.75,14.25,13.0,13.5,8100,5.47,-0.01795332136445249
1997-06-02,13.5,15.75,13.5,15.0,12600,6.08,0.11151736745886653
1997-07-01,14.88,15.63,14.88,15.5,8700,6.35,0.044407894736842035
1997-08-01,15.13,15.5,14.75,14.88,4500,6.1,-0.03937007874015752
1997-09-02,15.5,17.62,15.13,16.87,7000,6.92,0.13442622950819683
1997-10-01,17.5,17.75,16.5,17.0,8200,7.04,0.01734104046242768
1997-11-03,17.37,22.0,16.75,22.0,12500,9.12,0.2954545454545454
1997-12-01,21.87,26.25,21.5,23.5,29300,9.74,0.06798245614035103
1998-01-02,22.5,23.0,19.5,20.25,11300,8.47,-0.1303901437371663
1998-02-02,21.0,21.25,20.0,20.0,5400,8.37,-0.011806375442739214
1998-03-02,20.0,21.0,19.0,20.0,12700,8.37,0.0
1998-04-01,20.0,21.25,19.94,20.25,10700,8.9,0.06332138590203118
1998-05-01,20.37,21.0,19.87,20.12,9300,8.84,-0.006741573033707926
1998-06-01,20.12,20.5,18.62,19.25,11400,8.46,-0.04298642533936636
1998-07-01,18.75,19.5,18.0,18.25,6200,8.1,-0.042553191489361875
