Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-12-21,5.13,5.25,4.88,4.88,3800,4.88,0.0
1996-01-02,4.88,6.63,4.38,6.63,19300,6.63,0.35860655737704916
1996-02-01,6.38,7.13,5.0,5.5,20200,5.5,-0.17043740573152333
1996-03-01,5.31,7.5,5.13,6.56,24500,6.56,0.19272727272727264
1996-04-01,6.56,7.38,6.0,7.38,16100,7.38,0.125
1996-05-01,7.5,7.69,6.5,6.88,30700,6.88,-0.0677506775067751
1996-06-03,7.0,8.13,5.94,6.0,203900,6.0,-0.12790697674418605
1996-07-01,6.0,6.5,6.0,6.06,63500,6.06,0.010000000000000009
1996-08-01,6.0,7.88,6.0,7.38,38300,7.38,0.2178217821782178
1996-09-03,7.38,7.63,6.88,7.0,19300,7.0,-0.051490514905149
1996-10-01,7.0,9.25,7.0,8.88,38400,8.88,0.2685714285714287
1996-11-01,8.88,9.63,8.25,8.5,28700,8.5,-0.04279279279279291
1996-12-02,8.75,8.88,7.63,7.75,21300,7.75,-0.08823529411764708
1997-01-02,7.75,8.13,7.38,7.88,23000,7.88,0.016774193548387162
1997-02-03,7.63,8.75,7.63,7.75,62500,7.75,-0.016497461928933976
1997-03-03,7.75,9.19,7.38,7.75,36500,7.75,0.0
1997-04-01,7.5,8.25,6.75,7.25,37200,7.25,-0.06451612903225812
1997-05-01,7.13,9.13,7.13,8.88,62500,8.88,0.2248275862068967
1997-06-02,9.0,10.5,8.75,9.25,134500,9.25,0.04166666666666652
1997-07-01,9.75,9.75,7.88,8.5,52100,8.5,-0.08108108108108103
1997-08-01,8.38,9.25,8.25,8.5,47400,8.5,0.0
1997-09-02,8.5,12.0,8.38,11.69,210500,11.69,0.3752941176470588
1997-10-01,11.88,12.5,8.75,10.69,140000,10.69,-0.08554319931565446
1997-11-03,10.63,11.5,9.31,9.81,104900,9.81,-0.08231992516370434
1997-12-01,9.75,10.13,9.0,9.13,88400,9.13,-0.06931702344546375
1998-01-02,9.25,11.75,8.63,11.0,130400,11.0,0.20481927710843362
1998-02-02,11.25,12.88,10.13,12.5,58800,12.5,0.13636363636363646
1998-03-02,12.53,17.5,12.5,17.0,180100,17.0,0.3600000000000001
1998-04-01,17.06,20.0,15.88,17.0,158000,17.0,0.0
1998-05-01,17.25,18.75,16.12,17.19,65800,17.19,0.011176470588235343
1998-06-01,17.0,17.25,13.88,15.63,181800,15.63,-0.09075043630017454
1998-07-01,15.5,15.63,13.25,14.19,70200,14.19,-0.09213051823416518
1998-08-03,14.25,14.25,6.25,6.25,115300,6.25,-0.5595489781536294
1998-09-01,6.88,9.13,6.0,7.25,103600,7.25,0.15999999999999992
1998-10-01,7.13,8.63,5.25,7.0,140200,7.0,-0.03448275862068961
1998-11-02,7.25,7.5,4.75,6.5,484100,6.5,-0.0714285714285714
1998-12-01,6.5,8.06,5.38,7.25,133600,7.25,0.11538461538461542
1999-01-04,7.5,8.69,6.63,7.97,104200,7.97,0.09931034482758627
1999-02-01,8.06,8.06,6.5,6.56,47600,6.56,-0.17691342534504395
1999-03-01,6.63,7.25,5.44,5.75,114600,5.75,-0.1234756097560975
1999-04-01,5.75,9.25,5.25,7.56,147200,7.56,0.314782608695652
1999-05-03,7.75,8.81,7.5,7.59,83100,7.59,0.003968253968253954
1999-06-01,7.69,7.94,6.75,7.31,81400,7.31,-0.03689064558629784
1999-07-01,7.44,7.56,6.5,7.19,62500,7.19,-0.01641586867305056
