Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-08-18,1.66,1.67,1.64,1.64,30500,0.12,0.0
1995-09-01,1.64,1.67,1.63,1.66,41800,0.18,0.5
1995-10-02,1.66,1.67,1.54,1.54,58100,0.16,-0.11111111111111105
1995-11-01,1.53,1.66,1.45,1.62,95800,0.17,0.0625
1995-12-01,1.62,1.84,1.61,1.83,67500,0.27,0.588235294117647
1996-01-02,1.82,1.85,1.7,1.84,68900,0.27,0.0
1996-02-01,1.84,1.93,1.78,1.8,56200,0.26,-0.03703703703703709
1996-03-01,1.8,1.82,1.73,1.78,34300,0.36,0.3846153846153846
1996-04-01,1.79,1.81,1.66,1.77,45000,0.36,0.0
1996-05-01,1.76,1.86,1.73,1.85,33900,0.38,0.05555555555555558
1996-06-03,1.85,1.9,1.79,1.87,39500,0.52,0.368421052631579
1996-07-01,1.88,1.89,1.78,1.8,31100,0.5,-0.03846153846153855
1996-08-01,1.8,1.82,1.72,1.8,43100,0.5,0.0
1996-09-03,1.79,1.92,1.77,1.87,28300,0.69,0.3799999999999999
1996-10-01,1.85,1.98,1.82,1.95,67300,0.72,0.04347826086956519
1996-11-01,1.95,2.11,1.93,2.05,34600,0.76,0.05555555555555558
1996-12-02,2.05,2.15,2.03,2.1,47700,1.01,0.32894736842105265
1997-01-02,2.09,2.48,2.09,2.43,255200,1.18,0.16831683168316824
1997-02-03,2.43,2.59,2.4,2.53,141100,1.22,0.033898305084745894
1997-03-03,2.53,2.75,2.49,2.55,89500,1.5,0.2295081967213115
1997-04-01,2.54,2.68,2.44,2.6,62400,1.53,0.020000000000000018
1997-05-01,2.58,2.84,2.49,2.84,48900,1.68,0.09803921568627438
1997-06-02,11.0,11.19,10.5,11.0,78100,6.48,2.8571428571428577
1997-07-01,11.0,11.88,10.81,11.75,42400,6.93,0.06944444444444442
1997-08-01,11.62,13.0,11.62,13.0,25000,7.66,0.10533910533910551
1997-09-02,13.25,16.12,13.25,16.0,37900,9.43,0.2310704960835508
1997-10-01,16.12,17.25,14.25,15.19,11700,8.95,-0.05090137857900323
1997-11-03,15.12,16.38,15.12,15.75,5500,9.28,0.036871508379888285
1997-12-01,15.56,15.94,15.0,15.63,7400,9.21,-0.00754310344827569
1998-01-02,15.38,15.63,14.06,14.69,7900,8.66,-0.059717698154180265
1998-02-02,14.75,15.0,14.0,14.62,5800,8.62,-0.004618937644341958
1998-03-02,14.62,14.88,13.25,14.5,157300,8.55,-0.008120649651972012
1998-04-01,14.62,15.38,13.75,14.25,17000,8.4,-0.01754385964912286
1998-05-01,14.37,14.37,13.12,13.75,21300,8.1,-0.03571428571428581
1998-06-01,13.75,14.37,13.0,14.13,28400,8.33,0.02839506172839501
1998-07-01,14.13,14.88,13.0,13.12,13000,7.74,-0.07082833133253297
1998-08-03,13.12,13.19,9.5,9.5,23100,5.6,-0.2764857881136952
1998-09-01,9.5,10.06,9.0,9.31,7700,5.49,-0.019642857142857073
1998-10-01,9.12,9.12,6.75,8.62,12300,5.08,-0.07468123861566489
1998-11-02,8.62,10.5,8.13,9.12,31600,5.38,0.059055118110236116
1998-12-01,9.06,10.5,8.5,10.31,18300,6.08,0.13011152416356886
1999-01-04,10.44,10.5,9.0,9.94,5400,5.86,-0.03618421052631571
1999-02-01,9.81,9.94,8.88,9.5,7800,5.6,-0.04436860068259396
1999-03-01,9.63,9.81,8.5,8.75,8100,5.16,-0.07857142857142851
1999-04-01,8.62,10.25,7.88,10.0,15000,5.89,0.14147286821705407
1999-05-03,10.25,12.25,10.06,10.44,18700,6.15,0.04414261460101887
1999-06-01,10.44,10.75,9.38,10.75,18600,6.34,0.03089430894308931
1999-07-01,10.56,10.75,9.63,10.12,13100,5.97,-0.05835962145110407
1999-08-02,10.0,10.25,9.12,9.19,9600,5.42,-0.09212730318257956
1999-09-01,9.12,9.63,7.75,9.5,20700,5.6,0.03321033210332103
1999-10-01,9.38,9.38,8.0,8.25,7200,4.86,-0.132142857142857
1999-11-01,8.25,8.5,7.62,7.88,32900,4.64,-0.04526748971193428
1999-12-01,8.0,8.88,7.69,8.5,69700,5.01,0.07974137931034475
2000-01-03,8.37,9.06,8.0,8.37,10500,4.94,-0.013972055888223478
2000-02-01,8.37,8.62,7.5,7.62,10600,4.49,-0.09109311740890691
2000-03-02,7.81,8.75,7.5,8.69,10600,5.12,0.14031180400890864
2000-04-03,8.75,8.88,8.13,8.88,7600,5.23,0.021484375
2000-05-01,8.88,9.38,7.38,8.0,23200,4.72,-0.0975143403441684
2000-06-01,8.13,16.88,7.88,15.12,31100,4.46,-0.05508474576271183
2000-07-03,15.62,17.12,15.62,16.38,9800,4.83,0.08295964125560551
2000-08-01,16.25,19.75,15.38,19.12,9900,5.64,0.16770186335403725
2000-09-01,19.19,19.75,18.75,19.75,4500,5.82,0.03191489361702149
2000-10-02,19.5,19.62,17.38,17.81,1500,5.25,-0.097938144329897
2000-11-01,17.88,18.5,15.25,15.44,2900,4.55,-0.13333333333333341
2000-12-01,15.38,16.38,15.12,15.75,8700,4.64,0.01978021978021971
2001-01-02,15.62,17.5,15.5,17.5,8800,5.16,0.11206896551724155
2001-02-01,17.5,17.5,16.15,16.49,8300,4.86,-0.05813953488372092
2001-03-01,16.5,16.5,15.9,16.35,4700,4.82,-0.008230452674897082
2001-04-02,16.35,16.4,15.8,15.8,5900,4.66,-0.03319502074688796
2001-05-01,15.9,16.64,15.86,16.58,33100,4.89,0.04935622317596566
2001-06-01,16.5,19.5,16.5,19.35,39100,5.7,0.16564417177914126
2001-07-02,19.35,19.8,18.85,19.8,9000,5.84,0.024561403508771784
2001-08-01,19.75,20.0,19.48,19.9,6800,5.86,0.0034246575342467
2001-09-04,19.8,20.0,17.85,19.2,10400,5.66,-0.03412969283276457
2001-10-01,19.3,19.3,18.0,18.14,8100,5.35,-0.05477031802120147
2001-11-01,18.0,18.75,18.0,18.6,7400,5.48,0.024299065420560817
