Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-05-30,2.22,2.22,2.05,2.2,2600,2.2,0.0
2012-06-01,2.03,2.6,1.81,2.11,3400,2.11,-0.040909090909091006
2012-07-02,2.14,2.4,1.85,1.95,1600,1.95,-0.07582938388625593
2012-08-01,1.92,4.49,1.62,2.4,8000,2.4,0.23076923076923084
2012-09-04,2.4,2.4,2.0,2.2,1200,2.2,-0.08333333333333326
2012-10-01,2.2,2.2,1.95,1.99,800,1.99,-0.09545454545454557
2012-11-01,1.99,2.5,1.39,2.5,3100,2.5,0.256281407035176
2012-12-03,2.5,2.6,1.71,2.4,2400,2.4,-0.040000000000000036
2013-01-02,3.43,3.43,2.25,2.5,18000,2.5,0.04166666666666674
2013-02-01,2.5,3.36,2.25,2.35,1400,2.35,-0.05999999999999994
2013-03-01,2.35,2.9,2.25,2.75,2200,2.75,0.17021276595744683
2013-04-01,2.75,3.45,2.04,2.39,3000,2.39,-0.13090909090909086
2013-05-01,2.81,2.81,1.47,2.06,900,2.06,-0.13807531380753135
2013-06-03,2.25,2.29,1.5,1.84,700,1.84,-0.10679611650485432
2013-07-01,1.95,2.0,1.5,1.8,1900,1.8,-0.021739130434782594
2013-08-01,1.8,2.05,1.8,1.87,700,1.87,0.03888888888888897
2013-09-03,1.87,2.0,1.6,1.99,500,1.99,0.06417112299465244
2013-10-01,1.99,1.99,1.39,1.43,1400,1.43,-0.2814070351758794
2013-11-01,1.49,1.52,1.3,1.5,1400,1.5,0.04895104895104896
