Date,Open,High,Low,Close,Volume,Adj Close,Return
2003-10-09,57.6,57.9,55.0,56.5,29900,25.29,0.0
2003-11-03,56.25,57.75,55.75,57.3,300,25.65,0.014234875444839812
2003-12-01,57.25,57.45,55.1,55.75,2000,24.96,-0.026900584795321536
2004-01-02,55.95,58.25,55.95,56.85,7200,25.84,0.03525641025641013
2004-02-02,56.8,57.75,56.8,57.3,9300,26.04,0.007739938080495223
2004-03-01,57.5,59.75,57.5,58.7,4500,26.68,0.02457757296466978
2004-04-01,58.85,58.85,56.2,56.2,11300,25.93,-0.028110944527736104
2004-05-03,56.2,56.53,52.25,53.25,2300,24.57,-0.05244890088700349
2004-06-01,53.25,53.4,52.7,53.15,200,24.52,-0.0020350020350020648
2004-07-01,53.4,54.5,51.0,54.5,1200,25.57,0.04282218597063614
2004-08-02,54.5,56.75,54.5,56.35,900,26.43,0.033633163863902915
2004-09-01,56.35,57.5,55.0,57.25,1300,26.86,0.01626939084373813
2004-10-01,57.4,57.6,56.65,57.15,1000,27.22,0.013402829486224954
2004-11-01,57.15,57.45,56.75,56.9,1400,27.1,-0.004408523144746379
2004-12-01,56.9,57.5,56.0,57.5,5700,27.39,0.010701107011070077
2005-01-03,57.4,57.5,56.12,57.15,1100,27.64,0.009127418765972894
2005-02-01,57.15,58.0,57.0,57.5,400,27.81,0.006150506512300868
2005-03-01,57.0,57.0,54.15,55.0,1500,26.6,-0.043509528946422016
2005-04-01,55.0,55.85,54.35,55.45,4500,27.25,0.02443609022556381
2005-05-02,55.5,57.75,55.5,57.35,600,28.19,0.03449541284403668
2005-06-01,57.5,57.5,56.9,57.25,500,28.14,-0.0017736786094360024
2005-07-01,56.8,57.5,55.9,55.91,5300,27.9,-0.008528784648187737
2005-08-01,55.91,55.91,55.55,55.85,400,27.87,-0.0010752688172042113
2005-09-01,55.85,55.85,54.0,54.2,4700,27.05,-0.02942231790455685
2005-10-03,54.2,55.0,53.75,53.76,9900,27.27,0.008133086876155327
2005-11-01,52.35,54.0,52.35,53.4,10300,27.08,-0.006967363403006965
2005-12-01,53.4,53.4,52.7,52.96,500,26.86,-0.008124076809453484
2006-01-03,53.0,54.4,53.0,53.8,600,27.73,0.03239017125837673
2006-02-01,53.8,55.85,53.55,55.8,1300,28.77,0.0375045077533358
2006-03-01,55.8,55.8,54.35,55.0,800,28.35,-0.014598540145985384
2006-04-03,55.0,55.0,52.84,53.8,1500,28.18,-0.005996472663139407
2006-05-01,54.15,54.2,52.53,53.5,11400,28.02,-0.005677785663591228
2006-06-01,53.4,54.15,52.55,53.3,900,27.92,-0.0035688793718771095
2006-07-03,53.5,54.0,52.4,52.95,500,28.2,0.010028653295128809
2006-08-01,53.0,53.94,52.5,53.75,800,28.62,0.014893617021276562
2006-09-01,53.58,53.8,52.85,53.06,8900,28.25,-0.012928022361984648
2006-10-02,53.06,53.6,52.3,53.4,1000,28.91,0.02336283185840715
2006-11-01,53.4,54.68,53.2,54.46,500,29.48,0.019716361120719395
2006-12-01,54.5,54.6,53.4,54.3,600,29.39,-0.0030529172320217235
2007-01-03,54.4,54.7,53.1,53.35,600,29.35,-0.0013610071452875294
2007-02-01,53.5,54.9,53.0,53.3,900,29.32,-0.0010221465076661884
2007-03-01,53.0,55.0,52.75,54.0,1600,29.71,0.013301500682128209
2007-04-02,53.0,53.92,43.35,49.45,51600,27.75,-0.06597105351733423
2007-05-01,49.7,50.8,49.3,49.75,7500,27.92,0.006126126126126286
2007-06-01,49.75,49.8,47.5,48.05,9100,26.97,-0.03402578796561617
2007-07-02,48.05,50.0,46.0,46.7,17000,26.7,-0.010011123470522798
2007-08-01,46.5,47.1,40.9,46.05,7300,26.33,-0.013857677902621712
2007-09-04,46.0,50.0,45.35,47.0,5400,26.88,0.020888720091150725
2007-10-01,47.5,47.7,44.65,44.65,4700,26.02,-0.03199404761904756
2007-11-01,44.65,44.65,37.0,42.0,3400,24.47,-0.05956956187548046
2007-12-03,42.0,43.0,34.5,40.25,24100,23.45,-0.04168369431957497
2008-01-02,41.14,47.5,36.75,44.81,5100,26.67,0.13731343283582098
2008-02-01,46.25,47.9,43.15,47.16,1600,28.07,0.052493438320209806
2008-03-03,48.15,48.85,39.0,39.35,2100,23.42,-0.16565728535803348
2008-04-01,39.47,41.8,36.0,40.75,5700,24.82,0.05977796754910325
2008-05-01,40.75,45.39,37.11,40.3,2300,24.55,-0.010878323932312584
2008-06-02,40.85,41.2,34.7,35.75,6900,21.78,-0.11283095723014258
2008-07-01,35.0,41.85,33.01,34.0,6500,21.22,-0.025711662075298514
2008-08-01,34.75,34.84,28.9,31.7,14100,19.78,-0.06786050895381701
2008-09-02,31.7,32.3,20.73,23.85,45400,14.88,-0.24772497472194133
2008-10-01,23.1,33.83,18.75,21.0,5400,13.57,-0.08803763440860213
2008-11-03,21.75,27.6,20.52,24.0,12900,15.5,0.14222549742078106
2008-12-01,24.75,24.75,19.0,22.77,5100,14.71,-0.05096774193548381
2009-01-02,23.2,36.85,23.2,27.94,10400,18.61,0.2651257647858598
2009-02-02,28.0,29.77,13.59,14.0,5500,9.33,-0.49865663621708756
2009-03-02,13.5,23.0,10.24,21.5,5500,14.32,0.534833869239014
2009-04-01,21.65,26.35,15.02,23.0,2100,15.88,0.1089385474860336
2009-05-01,23.15,25.95,20.9,25.0,2000,17.26,0.0869017632241813
2009-06-01,24.47,37.0,24.0,35.3,5600,24.37,0.4119351100811124
2009-07-01,35.16,35.8,25.12,30.4,3400,21.52,-0.11694706606483385
2009-08-03,30.1,36.0,29.96,34.41,2000,24.36,0.13197026022304836
2009-09-01,34.21,34.21,28.0,30.75,10500,21.77,-0.10632183908045978
2009-10-01,30.64,37.66,29.0,32.74,11400,23.86,0.09600367478180982
2009-11-02,32.9,35.59,32.67,32.85,6800,23.94,0.0033528918692373733
2009-12-01,33.3,38.2,32.92,37.58,9800,27.38,0.14369256474519632
2010-01-04,37.5,40.5,36.78,37.5,12200,27.96,0.02118334550766998
2010-02-01,37.69,39.25,37.0,38.87,4100,28.98,0.03648068669527893
2010-03-01,38.9,40.0,37.25,38.36,11200,28.6,-0.013112491373360902
2010-04-01,38.45,39.79,38.0,38.9,29200,29.66,0.03706293706293695
2010-05-03,39.19,39.2,34.81,37.85,5200,28.86,-0.02697235333782877
2010-06-01,37.0,38.4,36.7,37.67,1700,28.73,-0.0045045045045044585
2010-07-01,37.79,39.2,37.12,39.0,3000,30.42,0.05882352941176472
2010-08-02,39.0,40.25,38.06,38.9,9200,30.34,-0.002629848783694988
2010-09-01,39.09,40.3,38.3,40.12,30900,31.3,0.03164139749505601
2010-10-01,40.15,43.6,39.61,43.08,13200,34.3,0.09584664536741205
2010-11-01,43.44,43.44,41.0,42.45,5500,33.8,-0.014577259475218707
2010-12-01,42.51,43.04,39.04,42.8,9500,34.08,0.008284023668639007
2011-01-03,42.95,44.44,40.75,41.33,12100,33.59,-0.014377934272300275
2011-02-01,41.33,43.12,41.33,42.85,16100,34.83,0.03691574873474224
2011-03-01,42.87,44.0,42.19,43.35,7600,35.23,0.011484352569623768
2011-04-01,43.34,45.64,43.0,45.45,51100,37.68,0.06954300312233896
2011-05-02,45.45,48.34,43.48,47.75,21600,39.59,0.05069002123142252
2011-06-01,47.75,48.02,45.88,47.51,5200,39.39,-0.005051780752715396
2011-07-01,47.5,47.78,44.86,44.95,8600,37.97,-0.03604975882203609
2011-08-01,45.4,46.0,40.0,42.96,9200,36.29,-0.044245456939689176
2011-09-01,43.25,44.29,41.0,42.0,7400,35.48,-0.02232019840176358
2011-10-03,42.5,43.05,38.0,42.24,7500,36.42,0.026493799323562772
2011-11-01,41.59,42.82,39.81,40.2,5500,34.67,-0.048050521691378356
2011-12-01,40.01,40.8,38.5,40.1,4200,34.58,-0.0025959042399770205
2012-01-03,40.4,43.98,40.1,43.5,4200,38.31,0.10786581839213438
2012-02-01,43.75,45.71,43.36,45.19,6500,39.79,0.03863221091098912
2012-03-01,45.1,46.0,44.0,45.87,5600,40.39,0.0150791656195024
2012-04-02,45.49,46.45,44.13,45.3,3600,40.66,0.0066848229759841615
2012-05-01,45.27,45.3,41.91,43.95,5500,39.45,-0.02975897688145579
2012-06-01,43.56,47.0,42.36,45.95,7900,41.25,0.04562737642585546
2012-07-02,46.02,47.73,44.0,47.09,8100,43.06,0.04387878787878785
2012-08-01,47.0,48.69,46.7,48.0,6200,43.89,0.019275429633070162
2012-09-04,48.0,48.54,47.0,47.8,6200,43.71,-0.004101161995898828
2012-10-01,47.94,48.8,47.51,48.42,5500,45.09,0.03157172271791353
2012-11-01,48.59,48.63,45.93,48.12,5600,44.81,-0.006209802616988225
2012-12-03,48.48,49.05,46.9,48.28,9800,44.96,0.0033474670832402964
2013-01-02,48.8,49.5,48.1,48.45,7900,45.92,0.021352313167259718
2013-02-01,48.7,49.41,48.33,49.14,6400,46.58,0.014372822299651533
2013-03-01,49.2,50.6,48.85,50.01,6700,47.4,0.01760412194074701
2013-04-01,50.05,50.59,49.01,49.92,5200,48.15,0.015822784810126667
2013-05-01,49.99,50.99,49.02,50.0,7500,48.22,0.0014537902388369606
2013-06-03,50.0,50.07,46.61,49.49,10500,47.73,-0.010161758606387461
2013-07-01,49.9,50.2,48.11,48.75,10100,47.86,0.002723653886444577
2013-08-01,49.0,49.0,45.1,45.67,3300,44.84,-0.06310071040534881
2013-09-03,45.9,47.83,45.29,47.83,2900,46.96,0.04727921498661902
2013-10-01,47.41,48.0,46.0,47.34,9600,47.34,0.008091993185689983
2013-11-01,47.14,48.0,46.35,47.5,3600,47.5,0.003379805661174462
