Date,Open,High,Low,Close,Volume,Adj Close,Return
2005-07-11,99.8,100.75,99.8,100.25,6100,62.28,0.0
2005-08-01,100.0,101.25,100.0,100.76,65700,63.3,0.016377649325626242
2005-09-01,100.86,101.8,100.86,101.8,3200,63.95,0.010268562401263948
2005-10-03,101.8,103.5,101.15,102.75,1800,64.55,0.009382329945269552
2005-11-01,102.75,102.75,101.85,101.91,2800,64.75,0.0030983733539891034
2005-12-01,101.5,101.5,100.5,101.0,100,64.17,-0.008957528957528882
2006-01-03,101.0,103.5,101.0,103.5,11400,65.76,0.024777933613838288
2006-02-01,103.5,103.54,103.5,103.54,2100,65.79,0.00045620437956195303
2006-03-01,103.54,103.54,102.7,102.7,4500,66.08,0.004407964736282022
2006-04-03,102.7,103.0,102.7,102.75,4300,66.11,0.00045399515738497875
2006-05-01,102.75,105.75,102.75,104.0,11400,66.92,0.012252306761458165
2006-06-01,104.0,104.0,102.5,103.0,31400,67.2,0.004184100418409997
2006-07-03,103.0,103.0,102.85,102.9,12700,67.14,-0.0008928571428571397
2006-08-01,102.9,104.5,102.9,104.5,9200,69.2,0.030682156687518614
2006-09-01,104.5,104.5,102.8,103.44,5200,68.5,-0.010115606936416222
2006-10-02,103.44,103.44,103.25,103.25,0,68.37,-0.0018978102189780577
2006-11-01,103.25,103.75,103.25,103.75,0,68.71,0.004972941348544424
2006-12-01,103.75,104.35,102.5,104.35,0,70.14,0.02081210886333884
2007-01-03,104.35,105.35,104.35,105.25,0,70.75,0.008696891930424888
2007-02-01,105.25,105.25,104.5,104.75,28900,70.41,-0.004805653710247437
2007-03-01,104.75,104.75,102.61,102.71,77700,70.05,-0.005112910097997414
2007-04-02,102.6,102.6,82.0,87.1,39600,59.41,-0.1518915060670949
2007-05-01,87.0,89.38,86.0,88.5,58600,60.36,0.015990573977444855
2007-06-01,87.0,87.5,78.5,79.3,8200,55.05,-0.08797216699801191
2007-07-02,79.4,84.75,74.25,75.0,6400,52.06,-0.05431425976385096
2007-08-01,75.0,76.5,71.9,74.66,1600,51.83,-0.004417979254706217
2007-09-04,74.91,77.6,72.0,74.0,4300,52.48,0.012540999421184695
2007-10-01,74.25,75.5,61.0,66.5,4800,47.16,-0.10137195121951226
2007-11-01,67.25,67.25,53.0,60.0,22500,42.55,-0.09775233248515691
2007-12-03,60.0,62.5,55.0,60.0,32900,43.69,0.02679200940070503
2008-01-02,60.9,65.0,57.5,60.8,8800,44.27,0.013275349050126062
2008-02-01,60.85,60.85,57.42,58.0,1200,42.23,-0.046080867404563075
2008-03-03,58.25,58.99,38.56,47.0,1800,35.1,-0.16883731944115543
2008-04-01,47.5,50.74,47.0,48.41,19200,36.15,0.029914529914529808
2008-05-01,49.41,58.0,48.64,57.6,5100,43.01,0.18976486860304287
2008-06-02,56.85,58.0,49.75,50.7,5600,38.47,-0.10555684724482672
2008-07-01,49.95,51.04,43.71,44.0,700,33.38,-0.13231089160384701
2008-08-01,44.5,45.25,35.3,40.0,2000,30.35,-0.09077291791491915
2008-09-02,40.0,41.0,14.25,21.58,29900,16.74,-0.4484349258649095
2008-10-01,21.4,26.75,15.5,24.74,69100,19.2,0.1469534050179213
2008-11-03,24.5,27.01,19.5,26.3,3600,20.41,0.0630208333333333
2008-12-01,26.3,26.3,15.1,17.6,16000,14.14,-0.307202351788339
2009-01-02,18.51,24.5,17.0,22.18,27500,17.83,0.2609618104667608
2009-02-02,22.18,22.99,10.63,12.85,4200,10.33,-0.4206393718452046
2009-03-02,12.87,15.45,9.25,15.45,5700,13.09,0.26718296224588567
2009-04-01,15.65,19.35,15.0,17.0,24000,14.41,0.10084033613445387
2009-05-01,16.36,19.4,15.9,19.4,1900,16.44,0.1408743927827898
2009-06-01,19.4,33.38,19.4,31.0,17500,26.83,0.6319951338199512
2009-07-01,31.25,31.25,28.5,29.29,2400,25.35,-0.05516213194185604
2009-08-03,29.0,31.9,29.0,30.36,2300,26.28,0.0366863905325443
2009-09-01,31.58,33.7,29.1,32.44,3000,28.38,0.07990867579908678
2009-10-01,32.44,38.24,27.92,37.25,6300,32.59,0.1483439041578578
2009-11-02,38.02,41.47,36.75,39.91,10700,34.91,0.07118748082233783
2009-12-01,40.1,47.97,38.39,46.5,2600,40.94,0.17272987682612428
2010-01-04,46.25,55.11,46.1,51.5,56500,45.34,0.10747435271128492
2010-02-01,51.8,51.99,48.75,49.93,2400,43.95,-0.030657256285840373
