Date,Open,High,Low,Close,Volume,Adj Close,Return
1997-01-09,10.25,13.0,9.5,12.25,347000,2.19,0.0
1997-02-03,13.0,13.0,11.0,11.38,94100,2.04,-0.06849315068493145
1997-03-03,11.13,12.0,10.25,11.0,77800,1.98,-0.02941176470588236
1997-04-01,11.25,11.25,10.38,10.63,42400,1.91,-0.03535353535353536
1997-05-01,10.63,11.25,10.63,11.25,23900,2.02,0.05759162303664933
1997-06-02,11.25,12.0,10.75,11.63,31900,2.09,0.034653465346534684
1997-07-01,11.63,12.0,11.25,11.88,21700,2.14,0.02392344497607679
1997-08-01,11.5,12.0,11.25,11.25,51100,2.03,-0.05140186915887868
1997-09-02,11.25,12.75,11.25,12.5,149900,2.26,0.11330049261083741
1997-10-01,12.25,12.63,11.0,11.5,37000,2.08,-0.07964601769911495
1997-11-03,11.0,12.5,11.0,12.5,53200,2.26,0.08653846153846145
1997-12-01,12.0,12.5,12.0,12.0,9600,2.18,-0.03539823008849541
1998-01-02,12.25,12.25,11.38,11.5,38500,2.09,-0.041284403669724856
1998-02-02,11.5,12.0,11.5,11.5,13000,2.09,0.0
1998-03-02,11.5,14.25,11.5,14.25,39900,2.59,0.23923444976076547
1998-04-01,14.38,14.75,13.5,14.75,95000,2.68,0.0347490347490349
1998-05-01,14.75,18.25,14.5,16.75,64100,3.05,0.1380597014925371
1998-06-01,16.12,16.75,15.88,16.0,8400,2.92,-0.042622950819672045
1998-07-01,16.25,16.37,12.25,12.38,36100,2.26,-0.226027397260274
1998-08-03,12.38,13.0,10.75,11.13,41300,2.03,-0.10176991150442483
1998-09-01,11.13,11.13,9.25,9.63,9000,1.76,-0.13300492610837433
1998-10-01,9.88,10.44,8.0,9.13,33400,1.67,-0.051136363636363646
1998-11-02,9.13,11.5,9.13,10.13,11300,1.85,0.10778443113772473
1998-12-01,10.06,10.75,8.0,8.31,27800,1.53,-0.17297297297297298
1999-01-04,8.75,9.0,8.0,8.63,29500,1.59,0.03921568627450989
1999-02-01,8.63,9.75,8.38,9.13,15900,1.68,0.05660377358490565
1999-03-01,9.13,9.13,6.38,7.13,22500,1.32,-0.2142857142857142
1999-04-01,7.13,9.38,6.75,8.88,38400,1.64,0.2424242424242422
1999-05-03,9.5,9.5,8.38,8.5,13600,1.57,-0.04268292682926822
1999-06-01,9.25,9.5,8.13,8.19,11700,1.52,-0.031847133757961776
1999-07-01,8.75,9.25,6.88,7.03,44100,1.31,-0.13815789473684204
1999-08-02,7.5,7.75,7.0,7.5,9300,1.39,0.061068702290076216
1999-09-01,7.94,8.0,7.25,7.38,11300,1.38,-0.007194244604316502
1999-10-01,7.38,8.0,7.0,7.0,9700,1.31,-0.05072463768115931
1999-11-01,7.13,8.0,6.25,6.63,48300,1.24,-0.05343511450381688
1999-12-01,6.5,6.88,5.75,6.5,84600,1.22,-0.016129032258064502
2000-01-03,6.0,7.69,5.88,7.13,18100,1.34,0.09836065573770503
2000-02-01,7.25,7.5,6.88,6.94,28900,1.3,-0.02985074626865669
2000-03-01,6.88,12.0,6.88,8.81,36300,1.66,0.2769230769230768
2000-04-03,8.88,9.0,7.2,7.78,19900,1.47,-0.11445783132530118
2000-05-01,8.0,9.0,7.5,8.75,9900,1.65,0.12244897959183665
2000-06-01,9.0,9.0,8.25,8.38,5200,1.59,-0.036363636363636265
2000-07-03,8.38,8.81,8.25,8.25,6100,1.56,-0.018867924528301883
2000-08-01,8.25,8.5,8.0,8.06,5800,1.53,-0.019230769230769273
2000-09-01,8.06,8.5,8.0,8.0,6200,1.53,0.0
2000-10-02,8.0,8.0,7.25,7.31,6600,1.39,-0.09150326797385633
2000-11-01,7.25,7.25,6.5,6.5,8200,1.24,-0.1079136690647482
2000-12-01,6.5,7.0,6.25,6.63,22600,1.27,0.024193548387096753
2001-01-02,6.63,7.25,6.5,7.25,12800,1.39,0.09448818897637778
2001-02-01,6.88,7.5,6.88,7.5,2000,1.44,0.03597122302158273
2001-03-01,7.56,7.69,7.13,7.19,11500,1.39,-0.03472222222222221
2001-04-02,7.19,7.65,7.05,7.5,6600,1.45,0.043165467625899234
2001-05-01,7.5,8.1,7.45,7.75,3900,1.49,0.02758620689655178
2001-06-01,7.75,8.0,7.75,7.85,34500,1.52,0.020134228187919545
2001-07-02,7.85,8.25,7.85,8.1,1700,1.57,0.03289473684210531
2001-08-01,8.1,8.1,7.5,7.9,19500,1.53,-0.02547770700636942
2001-09-04,7.9,8.0,7.35,7.55,5700,1.47,-0.03921568627450989
2001-10-01,7.55,8.0,7.5,7.6,2800,1.48,0.006802721088435382
2001-11-01,7.6,7.82,6.8,7.58,5100,1.48,0.0
2001-12-03,7.58,7.9,7.4,7.65,2400,1.5,0.013513513513513598
2002-01-02,7.65,8.48,7.6,8.05,6800,1.58,0.053333333333333455
2002-02-01,8.05,8.05,7.56,7.6,5700,1.49,-0.05696202531645578
2002-03-01,7.6,8.17,7.4,8.0,15800,1.58,0.06040268456375841
2002-04-01,8.0,8.25,8.0,8.25,2100,1.62,0.025316455696202445
2002-05-01,8.25,8.7,7.95,8.05,22900,1.58,-0.024691358024691357
2002-06-03,8.05,8.6,8.01,8.06,11400,1.59,0.006329113924050667
2002-07-01,8.25,8.6,8.05,8.15,26300,1.61,0.012578616352201255
2002-08-01,8.15,8.55,8.0,8.15,1100,1.61,0.0
2002-09-03,8.15,8.19,8.15,8.15,2500,1.62,0.006211180124223503
2002-10-01,8.15,8.45,7.96,8.15,4600,1.62,0.0
2002-11-01,8.15,8.16,7.52,8.03,10600,1.6,-0.012345679012345734
2002-12-02,8.11,8.24,8.0,8.0,7400,1.6,0.0
2003-01-02,7.96,8.25,7.96,8.15,2300,1.63,0.018749999999999822
2003-02-03,8.16,8.2,8.15,8.15,3300,1.63,0.0
2003-03-03,8.15,8.3,8.11,8.11,3400,1.63,0.0
2003-04-01,8.38,8.43,8.18,8.18,300,1.64,0.006134969325153339
2003-05-01,8.18,8.48,8.05,8.25,12200,1.66,0.012195121951219523
2003-06-02,8.2,8.25,7.2,7.2,5500,1.45,-0.12650602409638556
2003-07-01,7.2,10.5,7.2,9.7,10600,1.96,0.3517241379310345
2003-08-01,9.65,11.49,6.53,7.39,51300,1.83,-0.0663265306122448
2003-09-02,7.32,7.5,6.92,7.01,8700,1.75,-0.04371584699453557
2003-10-01,7.0,7.86,6.56,6.64,11600,1.66,-0.05142857142857149
2003-11-03,6.93,8.81,6.93,8.02,6300,2.0,0.20481927710843384
2003-12-01,8.05,8.5,6.76,7.24,6000,1.82,-0.08999999999999997
2004-01-02,7.43,8.5,7.3,8.06,4800,2.02,0.10989010989010994
2004-02-02,8.29,8.45,7.75,8.1,10000,2.03,0.004950495049504955
2004-03-01,8.25,11.25,8.25,9.31,9700,2.34,0.15270935960591148
2004-04-01,9.87,10.0,9.25,9.9,6200,2.49,0.06410256410256432
2004-05-03,9.9,13.74,9.86,12.37,64700,3.12,0.2530120481927711
2004-06-01,12.75,18.29,12.25,17.62,149400,4.45,0.4262820512820513
2004-07-01,17.5,19.0,12.5,15.52,74900,3.92,-0.11910112359550562
2004-08-02,15.95,17.45,12.32,13.1,37300,3.31,-0.1556122448979591
2004-09-01,13.17,13.75,12.02,12.78,26200,3.24,-0.02114803625377637
2004-10-01,12.72,14.25,10.75,11.7,49000,2.97,-0.08333333333333337
2004-11-01,12.04,14.5,11.0,14.24,57500,3.61,0.2154882154882154
2004-12-01,14.3,16.49,13.65,15.97,29800,4.07,0.12742382271468156
2005-01-03,15.8,17.35,14.43,15.45,78700,3.94,-0.03194103194103204
2005-02-01,15.5,18.35,15.21,16.48,153300,4.2,0.06598984771573613
2005-03-01,16.25,30.35,16.25,30.06,531500,7.68,0.8285714285714285
2005-04-01,30.6,34.2,22.4,27.12,873800,6.93,-0.09765625
2005-05-02,27.45,37.55,25.13,36.92,808500,9.43,0.3607503607503608
2005-06-01,37.89,39.89,31.56,36.39,696300,9.32,-0.01166489925768821
2005-07-01,36.48,42.24,26.66,30.37,387100,11.66,0.25107296137339064
2005-08-01,30.82,32.86,18.58,19.99,568900,7.68,-0.3413379073756433
2005-09-01,20.0,24.85,19.68,24.3,299000,9.37,0.22005208333333326
2005-10-03,24.18,24.66,20.73,22.16,178100,8.55,-0.08751334044823889
2005-11-01,22.25,26.77,18.12,19.07,409400,7.35,-0.14035087719298256
2005-12-01,19.07,20.68,17.4,19.33,276800,7.49,0.019047619047619202
2006-01-03,19.25,23.4,18.55,21.8,217500,8.45,0.1281708945260347
2006-02-01,21.79,23.34,21.12,22.74,194900,8.81,0.04260355029585816
2006-03-01,22.63,26.4,20.93,21.38,382400,8.33,-0.05448354143019296
2006-04-03,21.6,22.69,20.48,21.08,142100,8.21,-0.014405762304921854
2006-05-01,21.92,22.39,18.93,19.7,223700,7.67,-0.06577344701583443
2006-06-01,19.76,20.78,16.93,20.78,272200,8.14,0.06127770534550203
