Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-04-10,11.9,13.5,11.9,12.48,4900,12.48,0.0
2012-05-01,12.5,12.52,12.0,12.15,13400,12.15,-0.02644230769230771
2012-06-01,12.15,12.2,10.67,10.9,11100,10.9,-0.10288065843621397
2012-07-02,10.97,11.4,10.25,10.43,18000,10.43,-0.0431192660550459
2012-08-01,10.47,11.14,10.15,10.88,36100,10.88,0.04314477468839906
2012-09-04,10.98,11.59,10.92,11.57,38700,11.57,0.06341911764705888
2012-10-01,11.91,12.0,11.15,11.68,5700,11.68,0.009507346585998278
2012-11-01,11.71,12.15,11.69,12.05,16700,12.05,0.03167808219178081
2012-12-03,12.0,12.5,11.51,11.79,17500,11.79,-0.021576763485477324
2013-01-02,11.86,12.37,11.5,12.21,18400,12.21,0.0356234096692114
2013-02-01,12.25,13.2,12.18,12.75,12500,12.75,0.04422604422604426
2013-03-01,12.87,13.69,12.52,13.62,26800,13.62,0.06823529411764695
2013-04-01,13.69,13.89,12.5,13.41,15600,13.41,-0.01541850220264307
2013-05-01,13.42,14.3,12.5,13.6,20400,13.6,0.014168530947054503
2013-06-03,13.52,14.25,13.36,13.68,8000,13.68,0.00588235294117645
2013-07-01,13.95,15.62,13.5,15.36,2700,15.36,0.12280701754385959
2013-08-01,15.07,15.65,14.31,15.03,5100,15.03,-0.021484375
2013-09-03,14.9,15.44,14.9,15.02,9200,15.02,-0.0006653359946773296
2013-10-01,15.03,16.13,14.88,15.05,8900,15.05,0.001997336884154599
2013-11-01,15.0,15.22,14.82,15.05,4800,15.05,0.0
