Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-04-14,23.86,26.0,23.2,24.95,1400,17.51,0.0
2010-05-03,25.0,25.0,24.0,24.8,1100,17.41,-0.005711022272986921
2010-06-01,24.8,25.0,23.76,24.0,700,17.29,-0.006892590465249926
2010-07-01,23.89,24.75,22.0,23.5,1200,16.93,-0.020821283979178706
2010-08-02,24.09,25.93,23.7,25.21,1800,18.16,0.07265209686946261
2010-09-01,25.21,27.18,23.98,25.75,1700,19.01,0.04680616740088106
2010-10-01,25.75,28.6,25.25,25.74,1400,19.01,0.0
2010-11-01,25.74,26.4,25.1,25.5,800,18.83,-0.00946870068385075
2010-12-01,25.93,28.9,25.5,27.86,2100,21.04,0.1173659054699947
2011-01-03,27.75,29.5,27.53,28.01,900,21.16,0.005703422053231932
2011-02-01,28.02,28.5,27.25,28.5,1500,21.53,0.017485822306238186
2011-03-01,28.5,29.5,26.36,26.78,1400,20.68,-0.03947979563399917
2011-04-01,27.0,28.5,26.86,27.06,900,20.9,0.010638297872340274
2011-05-02,27.07,28.5,15.96,24.75,8200,19.11,-0.08564593301435408
2011-06-01,23.94,26.66,19.0,20.3,2800,16.1,-0.1575091575091574
2011-07-01,20.9,22.51,19.76,22.38,2500,17.74,0.10186335403726687
2011-08-01,22.26,22.99,19.01,20.2,1200,16.02,-0.09695603156707999
2011-09-01,20.51,21.6,19.31,20.39,700,16.65,0.0393258426966292
2011-10-03,20.15,20.7,16.11,18.97,1400,15.49,-0.06966966966966959
2011-11-01,18.97,22.0,17.2,20.88,1600,17.05,0.10071013557133646
2011-12-01,21.5,22.76,18.7,20.06,1600,16.85,-0.011730205278592365
2012-01-03,20.06,22.09,18.97,21.85,2100,18.35,0.08902077151335308
2012-02-01,21.65,25.0,21.65,24.5,2200,20.58,0.12152588555858301
2012-03-01,24.62,24.95,23.03,24.05,1100,20.73,0.007288629737609353
2012-04-02,24.12,24.49,23.48,23.88,800,20.58,-0.007235890014471891
2012-05-01,23.83,24.48,23.0,24.05,1400,20.73,0.007288629737609353
2012-06-01,24.05,25.0,23.13,24.65,600,21.81,0.052098408104196636
2012-07-02,24.54,25.0,24.06,24.87,600,22.0,0.008711600183402224
2012-08-01,24.5,26.0,24.1,26.0,800,23.0,0.045454545454545414
2012-09-04,26.0,26.0,24.65,25.2,700,22.85,-0.006521739130434745
2012-10-01,25.2,25.89,25.2,25.5,600,23.12,0.011816192560174965
2012-11-01,25.5,25.75,25.04,25.49,600,23.11,-0.0004325259515571833
2012-12-03,25.49,25.75,25.11,25.5,700,23.7,0.02553007356122894
2013-01-02,25.5,25.83,25.19,25.75,600,23.93,0.009704641350211096
2013-02-01,25.75,25.99,25.47,25.85,900,24.02,0.003760969494358557
2013-03-01,25.85,26.1,25.31,25.69,500,24.46,0.01831806827643634
2013-04-01,25.35,26.46,25.3,25.51,600,24.29,-0.006950122649223345
2013-05-01,25.51,26.19,25.11,25.43,1100,24.22,-0.0028818443804035088
2013-06-03,25.43,26.0,25.08,25.5,700,24.88,0.02725020644095788
2013-07-01,25.53,26.2,25.06,25.1,1000,24.49,-0.015675241157556252
2013-08-01,25.42,25.42,24.27,24.98,1700,24.37,-0.0048999591670068066
2013-09-03,24.98,25.75,24.33,25.0,1400,25.0,0.02585145670906841
2013-10-01,24.95,25.97,24.56,25.8,1400,25.8,0.03200000000000003
2013-11-01,25.99,25.99,25.09,25.8,1200,25.8,0.0
