Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-10-21,5.38,5.75,5.0,5.25,373800,1.75,0.0
1994-11-01,5.25,5.75,5.12,5.38,98100,1.79,0.02285714285714291
1994-12-01,5.38,5.75,5.25,5.5,48000,1.83,0.022346368715083775
1995-01-03,5.25,5.62,5.25,5.38,60600,1.79,-0.021857923497267784
1995-02-01,5.25,6.62,5.25,6.13,110300,2.04,0.13966480446927365
1995-03-01,6.25,7.25,6.0,6.8,87500,2.27,0.11274509803921573
1995-04-03,6.88,7.12,6.62,6.75,31200,2.25,-0.008810572687224627
1995-05-01,6.62,9.0,6.62,8.94,136700,2.98,0.32444444444444454
1995-06-01,9.0,15.88,8.87,12.5,492300,4.17,0.3993288590604027
1995-07-03,13.0,17.5,12.38,16.0,211900,5.33,0.2781774580335732
1995-08-01,16.0,17.0,14.0,16.5,140500,5.5,0.031894934333958735
1995-09-01,17.87,18.13,14.12,16.0,194000,5.33,-0.030909090909090886
1995-10-02,16.25,17.38,14.75,15.38,166100,5.12,-0.039399624765478425
1995-11-01,15.75,16.75,15.25,15.62,104500,5.21,0.017578125
1995-12-01,15.88,21.25,15.62,18.75,217000,6.25,0.19961612284069097
1996-01-02,19.0,23.75,17.75,22.63,280700,7.54,0.20639999999999992
1996-02-01,23.0,23.5,20.0,20.75,171400,6.92,-0.08222811671087538
1996-03-01,21.0,22.5,15.75,17.62,201100,5.88,-0.1502890173410405
1996-04-01,18.13,19.88,17.25,18.5,216700,6.17,0.04931972789115657
1996-05-01,18.5,21.38,15.88,19.75,211700,6.58,0.06645056726094012
1996-06-03,19.37,21.62,16.75,18.25,159300,6.08,-0.07598784194528874
1996-07-01,18.13,19.88,15.38,18.0,110300,6.0,-0.013157894736842146
1996-08-01,18.0,18.38,16.37,18.0,165600,6.0,0.0
1996-09-03,17.62,25.25,17.5,24.0,510800,8.0,0.33333333333333326
1996-10-01,23.5,24.62,13.88,14.62,446700,4.88,-0.39
1996-11-01,15.62,18.25,15.25,16.63,239300,5.54,0.13524590163934436
1996-12-02,17.0,19.88,15.62,19.88,229000,6.62,0.19494584837545137
1997-01-02,19.88,23.0,19.12,19.88,359700,6.62,0.0
1997-02-03,19.81,22.5,18.25,19.5,294400,6.5,-0.01812688821752273
1997-03-03,19.75,21.25,16.63,17.75,188400,5.92,-0.08923076923076922
1997-04-01,17.12,20.25,17.0,19.37,169800,6.46,0.09121621621621623
1997-05-01,19.37,24.5,18.88,23.81,449900,7.94,0.22910216718266252
1997-06-02,23.5,25.75,15.0,16.12,1190300,5.38,-0.3224181360201511
1997-07-01,17.0,17.25,13.56,15.38,511600,5.12,-0.048327137546468335
1997-08-01,15.75,15.75,13.0,13.81,290300,4.6,-0.10156250000000011
1997-09-02,13.88,18.0,13.75,16.88,399000,5.62,0.22173913043478266
1997-10-01,16.88,17.75,14.5,15.38,162100,5.12,-0.08896797153024916
1997-11-03,15.62,15.62,13.0,13.25,170800,4.42,-0.13671875
1997-12-01,13.25,13.75,10.25,11.5,238800,3.83,-0.13348416289592757
1998-01-02,11.87,12.0,8.0,8.59,196300,2.86,-0.2532637075718016
1998-02-02,8.69,13.63,7.37,12.38,298400,4.12,0.44055944055944063
