Date,Open,High,Low,Close,Volume,Adj Close,Return
2007-08-08,9.9,9.95,7.0,9.4,1200,9.4,0.0
2007-09-04,9.4,10.5,8.95,10.0,2800,10.0,0.06382978723404253
2007-10-01,10.1,10.4,9.5,10.35,2600,10.35,0.03499999999999992
2007-11-01,10.35,13.8,9.35,11.0,47200,11.0,0.06280193236714982
2007-12-03,10.99,12.78,9.5,12.05,23400,12.05,0.09545454545454546
2008-01-02,12.1,15.92,10.35,10.5,45000,10.5,-0.12863070539419097
2008-02-01,10.46,11.5,7.55,8.14,38500,8.14,-0.22476190476190472
2008-03-03,8.25,10.0,6.56,8.8,26500,8.8,0.08108108108108114
2008-04-01,8.87,9.84,7.75,8.91,10400,8.91,0.012499999999999956
2008-05-01,9.04,11.97,8.2,11.02,73600,11.02,0.2368125701459034
2008-06-02,12.48,13.9,8.51,9.0,429200,9.0,-0.1833030852994555
2008-07-01,9.06,11.05,7.27,7.69,237600,7.69,-0.14555555555555555
2008-08-01,7.68,8.19,6.4,6.73,133200,6.73,-0.1248374512353706
2008-09-02,6.69,6.71,2.16,4.85,383200,4.85,-0.27934621099554247
2008-10-01,4.92,4.92,0.73,2.2,157500,2.2,-0.5463917525773195
2008-11-03,2.19,2.3,0.52,0.98,184400,0.98,-0.5545454545454546
2008-12-01,0.98,0.98,0.55,0.68,237900,0.68,-0.30612244897959173
2009-01-02,0.69,0.8,0.41,0.44,294200,0.44,-0.3529411764705883
2009-02-02,0.44,0.6,0.42,0.45,198300,0.45,0.022727272727272707
2009-03-02,0.45,0.7,0.44,0.66,92600,0.66,0.4666666666666668
2009-04-01,0.63,0.88,0.6,0.74,113400,0.74,0.1212121212121211
2009-05-01,0.74,0.78,0.54,0.54,133300,0.54,-0.2702702702702702
2009-06-01,0.6,1.69,0.57,1.15,1142200,1.15,1.1296296296296293
2009-07-01,1.15,1.15,0.76,0.93,294600,0.93,-0.19130434782608685
2009-08-03,0.93,1.43,0.93,1.12,693700,1.12,0.20430107526881724
2009-09-01,1.16,1.45,1.05,1.2,557700,1.2,0.0714285714285714
2009-10-01,1.23,1.36,0.98,1.01,331900,1.01,-0.15833333333333333
2009-11-02,1.05,1.09,0.84,0.85,138000,0.85,-0.15841584158415845
2009-12-01,0.94,1.28,0.91,0.93,567700,0.93,0.09411764705882364
2010-01-04,0.93,1.21,0.92,0.93,177700,0.93,0.0
2010-02-01,0.93,1.06,0.91,0.94,82900,0.94,0.010752688172043001
2010-03-01,0.95,1.12,0.94,1.0,102000,1.0,0.06382978723404253
2010-04-01,1.0,1.33,1.0,1.25,209900,1.25,0.25
2010-05-03,1.25,1.29,0.95,1.26,186600,1.26,0.008000000000000007
2010-06-01,1.27,1.32,1.05,1.1,135600,1.1,-0.12698412698412687
2010-07-01,1.1,1.21,1.05,1.08,41400,1.08,-0.018181818181818188
2010-08-02,1.1,1.14,0.84,0.92,66800,0.92,-0.14814814814814814
2010-09-01,0.95,1.05,0.81,0.9,60500,0.9,-0.021739130434782594
2010-10-01,0.88,0.95,0.8,0.86,58200,0.86,-0.04444444444444451
