Date,Open,High,Low,Close,Volume,Adj Close,Return
1996-05-20,41.75,46.38,41.63,45.75,601200,24.48,0.0
1996-06-03,45.5,45.63,38.75,42.25,385300,22.61,-0.07638888888888895
1996-07-01,42.25,45.13,38.25,42.75,317500,22.88,0.011941618752764338
1996-08-01,42.5,45.13,41.88,43.75,226800,23.41,0.023164335664335622
1996-09-03,43.5,49.88,42.88,49.0,374000,26.35,0.12558735583084157
1996-10-01,49.0,51.38,45.88,51.38,213600,27.63,0.04857685009487667
1996-11-01,51.38,54.63,49.75,53.0,222700,28.5,0.03148751357220414
1996-12-02,52.88,55.5,51.0,53.63,181300,28.96,0.01614035087719312
1997-01-02,53.5,54.5,46.88,46.88,254900,25.32,-0.12569060773480667
1997-02-03,47.0,48.5,44.0,44.75,315600,24.17,-0.04541864139020535
1997-03-03,44.75,44.88,33.25,33.25,1052200,18.06,-0.25279271824575933
1997-04-01,33.13,35.75,29.87,33.25,622800,18.06,0.0
1997-05-01,33.13,37.25,32.38,36.25,443400,19.69,0.09025470653377643
1997-06-02,36.13,40.63,36.0,36.25,259600,19.81,0.006094464195022686
1997-07-01,36.5,38.56,34.5,34.75,320000,18.99,-0.04139323573952547
1997-08-01,34.75,36.75,33.25,33.56,257400,18.34,-0.03422854133754605
1997-09-02,33.81,35.44,26.62,28.12,1013800,15.49,-0.1553980370774264
1997-10-01,28.19,28.56,22.75,25.06,553500,13.81,-0.10845706907682373
1997-11-03,25.19,26.75,22.5,23.87,676600,13.15,-0.04779145546705288
1997-12-01,24.12,28.31,23.81,27.87,238600,15.49,0.17794676806083642
1998-01-02,27.81,27.94,24.25,25.56,188200,14.2,-0.08327953518398978
1998-02-02,25.81,27.37,25.56,26.87,196600,14.93,0.051408450704225395
1998-03-02,26.87,28.56,25.25,26.62,231000,14.91,-0.0013395847287340779
1998-04-01,26.62,27.75,25.75,27.06,229200,15.16,0.016767270288396974
1998-05-01,27.12,29.0,25.94,27.0,184800,15.12,-0.0026385224274406704
1998-06-01,27.0,28.5,24.81,28.12,276000,15.88,0.050264550264550456
1998-07-01,28.0,28.75,25.19,25.25,175300,14.26,-0.10201511335012603
1998-08-03,25.25,25.81,18.87,18.87,130000,10.66,-0.25245441795231416
1998-09-01,18.87,19.94,11.44,11.75,413500,6.71,-0.3705440900562852
1998-10-01,11.69,17.25,11.63,15.56,373900,8.89,0.324888226527571
1998-11-02,15.81,20.0,15.81,17.44,291500,9.96,0.12035995500562424
1998-12-01,17.44,18.44,15.63,16.44,215800,9.52,-0.04417670682730934
1999-01-04,16.31,20.81,15.06,20.56,256400,11.9,0.25
1999-02-01,20.56,21.44,16.31,17.5,371700,10.13,-0.14873949579831924
1999-03-01,17.75,20.5,17.5,18.0,280400,10.54,0.040473840078973256
1999-04-01,18.0,23.87,17.0,23.69,229800,13.87,0.3159392789373814
1999-05-03,23.69,24.06,21.5,22.25,171500,13.02,-0.0612833453496755
1999-06-01,22.25,25.5,21.44,25.5,273700,15.07,0.15745007680491563
1999-07-01,25.37,25.37,22.69,23.62,234500,13.96,-0.07365627073656267
1999-08-02,23.62,24.75,22.31,22.56,139800,13.34,-0.044412607449856756
1999-09-01,22.56,23.0,19.12,20.25,145000,12.11,-0.09220389805097451
1999-10-01,20.25,21.12,17.69,19.81,295300,11.85,-0.02146985962014858
1999-11-01,19.87,20.37,17.25,17.81,266700,10.65,-0.10126582278481011
1999-12-01,17.75,20.19,15.88,16.94,288400,10.25,-0.03755868544600938
2000-01-03,16.94,17.0,15.0,16.31,339800,9.87,-0.03707317073170735
2000-02-01,16.12,19.0,15.56,17.19,415200,10.4,0.05369807497467094
2000-03-01,17.19,18.19,14.56,15.81,333500,9.69,-0.06826923076923086
2000-04-03,15.94,19.0,15.5,18.87,268300,11.57,0.19401444788441702
2000-05-01,18.87,23.37,16.87,22.06,410100,13.53,0.16940363007778725
2000-06-01,22.25,24.5,20.0,22.02,267600,13.63,0.00739098300073926
2000-07-03,22.12,23.12,19.37,19.44,195400,12.03,-0.11738811445341168
2000-08-01,19.44,20.94,18.87,20.2,168400,12.5,0.03906899418121368
2000-09-01,20.06,20.69,16.94,18.0,241900,11.26,-0.09920000000000007
2000-10-02,18.19,18.19,15.5,17.12,266600,10.71,-0.048845470692717496
2000-11-01,17.0,19.37,16.94,18.25,236300,11.42,0.06629318394024275
2000-12-01,18.12,20.62,17.06,20.44,266800,12.95,0.13397548161120842
2001-01-02,20.31,23.44,19.25,21.06,416100,13.34,0.03011583011583019
2001-02-01,21.1,23.65,20.94,23.6,238900,14.95,0.1206896551724137
2001-03-01,23.59,26.0,21.9,23.86,342400,15.25,0.02006688963210701
2001-04-02,23.8,24.25,19.2,22.02,473700,14.07,-0.07737704918032784
2001-05-01,22.0,23.1,21.6,22.86,224600,14.61,0.03837953091684421
2001-06-01,22.82,24.95,22.15,23.43,178200,15.12,0.03490759753593431
2001-07-02,23.43,24.98,21.3,23.48,271300,15.15,0.001984126984126977
2001-08-01,23.25,24.88,21.68,23.63,239700,15.25,0.0066006600660066805
2001-09-04,23.5,24.95,19.09,19.94,264700,12.87,-0.1560655737704919
2001-10-01,20.0,22.8,19.65,20.39,277800,13.16,0.022533022533022695
2001-11-01,20.5,22.4,19.48,19.66,314100,12.68,-0.03647416413373861
2001-12-03,19.9,20.0,17.7,19.25,319300,12.57,-0.008675078864353258
2002-01-02,19.3,19.89,18.52,19.0,279200,12.4,-0.01352426412092278
2002-02-01,19.12,20.71,18.56,20.18,265900,13.17,0.06209677419354831
2002-03-01,20.23,23.11,20.16,22.75,208200,15.0,0.1389521640091116
2002-04-01,22.75,24.99,22.18,22.96,349600,15.14,0.009333333333333416
2002-05-01,22.96,23.44,21.15,22.13,276800,14.59,-0.03632760898282694
2002-06-03,22.13,22.55,19.97,20.79,299400,13.85,-0.05071967100753938
2002-07-01,20.72,20.85,16.02,17.35,329400,11.56,-0.16534296028880857
2002-08-01,17.6,18.88,16.71,18.24,206800,12.15,0.051038062283736974
2002-09-03,18.15,18.9,15.91,16.62,298600,11.2,-0.07818930041152272
2002-10-01,16.75,18.14,14.98,16.14,444500,10.88,-0.02857142857142847
2002-11-01,16.12,17.47,15.4,17.13,280300,11.55,0.061580882352941124
2002-12-02,17.26,17.61,14.4,15.08,539900,10.3,-0.10822510822510822
2003-01-02,15.2,15.98,14.27,15.46,432100,10.56,0.025242718446601975
2003-02-03,15.5,15.73,12.45,12.47,463700,8.51,-0.19412878787878796
2003-03-03,12.7,14.3,12.05,13.82,529300,9.61,0.12925969447708585
2003-04-01,13.92,15.65,13.5,13.86,496000,9.63,0.0020811654526535772
2003-05-01,13.76,16.2,13.63,15.88,485300,11.04,0.14641744548286595
2003-06-02,16.0,16.5,13.9,14.36,598900,10.12,-0.08333333333333337
2003-07-01,14.26,15.9,14.16,15.51,491900,10.93,0.0800395256916997
2003-08-01,15.9,16.52,15.25,16.33,417500,11.51,0.05306495882891116
2003-09-02,16.27,16.98,12.97,13.38,672500,9.56,-0.16941789748045177
2003-10-01,13.5,15.45,13.4,15.05,543300,10.75,0.12447698744769875
2003-11-03,15.04,15.52,14.45,15.41,326000,11.01,0.024186046511627923
2003-12-01,15.51,17.85,15.01,17.34,468900,12.56,0.14078110808356037
2004-01-02,17.45,19.54,17.08,17.65,668500,12.78,0.01751592356687892
2004-02-02,17.9,19.56,17.75,19.1,527900,13.84,0.08294209702660416
2004-03-01,19.19,19.6,16.16,17.81,970800,13.05,-0.05708092485549132
2004-04-01,17.75,19.91,17.64,18.73,799600,13.72,0.05134099616858245
