Date,Open,High,Low,Close,Volume,Adj Close,Return
1991-11-21,10.0,10.0,8.14,8.21,35000,1.48,0.0
1991-12-02,8.21,8.46,8.11,8.39,28400,1.53,0.03378378378378377
1992-01-02,8.39,8.65,8.37,8.58,50000,1.58,0.03267973856209161
1992-02-03,8.58,8.63,8.37,8.56,33800,1.6,0.012658227848101333
1992-03-02,8.56,8.68,8.33,8.33,31200,1.57,-0.018750000000000044
1992-04-01,8.4,8.59,8.33,8.52,42800,1.62,0.031847133757961776
1992-05-01,8.52,8.79,8.52,8.72,47700,1.68,0.03703703703703698
1992-06-01,8.79,8.98,8.72,8.98,64600,1.75,0.04166666666666674
1992-07-01,8.98,9.39,8.91,9.39,98600,1.85,0.05714285714285716
1992-08-03,9.39,9.54,9.3,9.37,93000,1.86,0.00540540540540535
1992-09-01,9.37,9.52,9.13,9.21,78800,1.84,-0.010752688172043001
1992-10-01,9.28,9.43,8.67,8.89,90400,1.8,-0.021739130434782594
1992-11-02,8.89,9.17,8.82,9.17,70600,1.87,0.03888888888888897
1992-12-01,9.17,9.43,9.09,9.36,61100,1.95,0.04278074866310155
1993-01-04,9.36,9.64,9.28,9.64,71100,2.03,0.04102564102564088
1993-02-01,9.64,10.07,9.56,10.0,78000,2.13,0.049261083743842304
1993-03-01,10.07,10.3,9.59,10.05,59900,2.16,0.014084507042253724
1993-04-01,9.97,10.11,9.95,10.11,60200,2.19,0.01388888888888884
1993-05-03,10.11,10.26,9.78,10.01,64900,2.19,0.0
1993-06-01,10.01,10.22,9.85,10.07,49400,2.22,0.013698630136986356
1993-07-01,10.14,10.36,9.99,10.36,57200,2.31,0.04054054054054057
1993-08-02,10.36,10.65,10.36,10.49,55900,2.36,0.021645021645021467
1993-09-01,10.57,10.65,10.24,10.47,76200,2.37,0.004237288135593209
1993-10-01,10.55,10.77,10.45,10.69,52800,2.44,0.029535864978902815
1993-11-01,10.69,10.77,9.87,10.35,75700,2.39,-0.020491803278688492
1993-12-01,10.35,10.67,10.25,10.57,61900,2.46,0.029288702928870203
1994-01-03,10.49,10.87,10.41,10.87,53600,2.55,0.03658536585365857
1994-02-01,10.87,10.95,10.04,10.12,79100,2.4,-0.05882352941176472
1994-03-01,10.12,10.43,9.53,9.69,77700,2.32,-0.033333333333333326
1994-04-04,9.53,10.0,9.2,9.83,72400,2.37,0.02155172413793105
1994-05-02,9.83,10.14,9.67,10.06,57200,2.45,0.03375527426160341
1994-06-01,10.06,10.45,9.95,10.04,41600,2.47,0.008163265306122547
1994-07-01,10.04,10.2,9.93,10.1,54300,2.51,0.0161943319838056
1994-08-01,10.1,10.24,9.93,10.08,43800,2.52,0.003984063745019917
1994-09-01,10.16,10.22,9.63,9.72,41600,2.46,-0.023809523809523836
1994-10-03,9.72,9.8,8.93,9.19,71400,2.35,-0.04471544715447151
1994-11-01,9.19,9.7,8.31,9.25,107500,2.39,0.017021276595744705
1994-12-01,9.17,9.77,8.71,8.97,117600,2.34,-0.02092050209205032
1995-01-03,9.06,10.07,9.06,10.07,57200,2.65,0.13247863247863245
1995-02-01,10.16,10.57,10.07,10.4,46700,2.76,0.04150943396226414
1995-03-01,10.49,10.57,10.22,10.47,41000,2.8,0.01449275362318847
1995-04-03,10.38,10.62,10.35,10.35,37200,2.8,0.0
1995-05-01,10.44,10.55,9.97,10.24,63600,2.79,-0.0035714285714284477
1995-06-01,10.33,10.5,10.12,10.3,51400,2.83,0.014336917562723928
1995-07-03,10.3,10.76,10.18,10.27,40200,2.85,0.007067137809187329
1995-08-01,10.27,10.45,10.24,10.33,35700,2.89,0.01403508771929829
1995-09-01,10.42,10.42,9.94,10.21,64200,2.88,-0.0034602076124568004
1995-10-02,10.3,10.55,10.03,10.36,55900,2.94,0.02083333333333326
1995-11-01,10.36,10.89,10.36,10.79,59400,3.09,0.05102040816326525
1995-12-01,10.79,11.07,10.49,10.49,105300,3.03,-0.01941747572815533
1996-01-02,10.49,11.3,10.49,11.2,83300,3.26,0.07590759075907583
1996-02-01,11.3,11.39,11.11,11.17,59200,3.28,0.006134969325153339
1996-03-01,11.27,11.27,10.57,10.67,47500,3.15,-0.03963414634146334
1996-04-01,10.76,10.76,10.45,10.45,37200,3.11,-0.012698412698412764
1996-05-01,10.54,10.6,10.26,10.51,54100,3.15,0.012861736334405238
1996-06-03,10.51,10.86,10.51,10.76,61800,3.25,0.031746031746031855
1996-07-01,10.86,11.11,10.63,11.02,62500,3.36,0.03384615384615386
1996-08-01,11.11,11.5,11.08,11.27,58000,3.46,0.029761904761904878
1996-09-03,11.08,11.34,10.88,11.34,47800,3.5,0.011560693641618602
1996-10-01,11.34,11.6,11.2,11.3,47500,3.52,0.005714285714285783
1996-11-01,11.3,11.56,11.2,11.46,54200,3.59,0.019886363636363535
1996-12-02,11.36,11.56,10.93,11.03,114600,3.48,-0.03064066852367686
1997-01-02,11.13,11.69,10.93,11.69,78400,3.72,0.06896551724137945
1997-02-03,11.69,11.86,11.49,11.86,62400,3.79,0.018817204301075252
1997-03-03,11.75,11.86,11.42,11.42,68400,3.68,-0.02902374670184693
1997-04-01,11.42,11.89,11.38,11.78,66800,3.82,0.0380434782608694
1997-05-01,11.89,12.05,11.78,11.95,40400,3.9,0.020942408376963373
1997-06-02,12.05,12.43,11.95,12.38,51000,4.07,0.04358974358974366
1997-07-01,12.38,13.01,12.32,12.9,75900,4.27,0.04914004914004888
1997-08-01,12.96,13.18,12.8,13.07,61400,4.35,0.0187353629976581
1997-09-02,13.13,13.25,12.98,13.09,47400,4.39,0.009195402298850519
1997-10-01,13.09,13.3,12.95,13.16,49700,4.43,0.009111617312072884
1997-11-03,13.21,13.49,13.16,13.49,46100,4.57,0.031602708803611934
1997-12-01,13.49,13.71,13.43,13.71,48000,4.68,0.024070021881837933
1998-01-02,13.76,13.99,13.73,13.88,50500,4.76,0.017094017094017033
1998-02-02,13.88,14.06,13.79,13.85,46400,4.78,0.004201680672269115
1998-03-02,13.9,13.97,13.43,13.65,42300,4.74,-0.008368200836820106
1998-04-01,13.65,13.88,13.07,13.5,48100,4.71,-0.006329113924050667
1998-05-01,13.55,13.84,13.28,13.79,46400,4.84,0.027600849256900206
1998-06-01,13.84,14.18,13.79,14.07,38900,4.97,0.026859504132231482
1998-07-01,14.13,14.36,14.07,14.2,39400,5.04,0.014084507042253502
1998-08-03,14.25,14.6,14.2,14.27,33600,5.1,0.011904761904761862
1998-09-01,14.38,15.28,14.16,15.06,41400,5.41,0.0607843137254902
1998-10-01,15.17,15.24,14.78,14.96,39800,5.4,-0.001848428835489746
1998-11-02,15.02,15.31,14.91,15.2,27900,5.52,0.022222222222222143
1998-12-01,15.2,15.83,15.03,15.6,29200,5.86,0.061594202898550776
1999-01-04,15.66,15.72,14.75,14.98,40100,5.65,-0.03583617747440271
1999-02-01,15.04,15.29,14.98,15.17,35600,5.75,0.017699115044247815
1999-03-01,15.17,15.48,14.94,15.25,30100,5.81,0.01043478260869568
1999-04-01,15.25,15.3,14.91,15.03,27100,5.76,-0.008605851979345935
1999-05-03,15.03,15.26,14.22,14.39,44300,5.55,-0.03645833333333337
1999-06-01,14.39,14.53,14.23,14.41,39000,5.58,0.00540540540540535
1999-07-01,14.47,15.0,14.31,14.31,34800,5.57,-0.0017921146953404632
1999-08-02,14.43,14.48,13.49,13.91,47600,5.45,-0.021543985637342944
1999-09-01,13.85,14.15,13.14,13.44,47700,5.3,-0.02752293577981657
1999-10-01,13.44,13.62,12.55,12.79,49300,5.07,-0.04339622641509422
1999-11-01,12.91,13.4,12.56,12.68,66600,5.06,-0.0019723865877713243
1999-12-01,12.62,13.01,11.9,12.52,146400,5.02,-0.007905138339920903
2000-01-03,12.39,13.03,12.27,13.03,58300,5.26,0.047808764940239
2000-02-01,13.09,13.33,12.67,12.73,61200,5.17,-0.017110266159695797
2000-03-02,12.73,12.94,12.38,12.88,48100,5.27,0.01934235976789167
2000-04-03,12.94,13.5,12.62,13.0,53700,5.35,0.015180265654648917
2000-05-01,13.12,13.19,12.25,12.69,61900,5.25,-0.01869158878504662
2000-06-01,12.75,13.38,12.62,13.38,59100,5.57,0.06095238095238109
2000-07-03,13.38,13.94,13.31,13.75,36400,5.76,0.03411131059245953
2000-08-01,13.81,13.94,13.19,13.5,53700,5.69,-0.012152777777777679
2000-09-01,13.56,13.56,12.81,12.88,56700,5.46,-0.040421792618629215
2000-10-02,12.88,12.94,12.5,12.62,41400,5.38,-0.014652014652014711
2000-11-01,12.69,12.81,12.25,12.38,47900,5.3,-0.014869888475836479
2000-12-01,12.5,13.44,12.25,13.06,118000,5.63,0.062264150943396324
2001-01-02,13.12,14.25,13.12,14.21,64400,6.15,0.0923623445825934
2001-02-01,14.1,14.3,13.61,13.77,41000,5.99,-0.026016260162601612
2001-03-01,13.83,13.9,13.65,13.78,30500,6.03,0.006677796327211993
2001-04-02,13.78,13.95,13.46,13.46,30300,5.91,-0.01990049751243783
2001-05-01,13.66,13.78,13.43,13.51,30900,5.97,0.010152284263959421
2001-06-01,13.5,13.76,13.38,13.61,27200,6.04,0.011725293132328396
2001-07-02,13.64,13.89,13.55,13.8,32300,6.16,0.019867549668874274
2001-08-01,13.8,14.1,13.73,14.07,27700,6.31,0.024350649350649345
2001-09-04,14.08,14.08,13.25,13.75,49600,6.16,-0.023771790808240767
2001-10-01,13.75,14.15,13.63,13.79,33000,6.21,0.008116883116883189
2001-11-01,13.84,14.19,13.5,13.64,51400,6.17,-0.006441223832528209
2001-12-03,13.67,13.8,13.04,13.42,49600,6.1,-0.011345218800648316
2002-01-02,13.33,13.98,13.33,13.9,32400,6.36,0.04262295081967227
2002-02-04,13.97,14.35,13.95,14.31,31400,6.58,0.03459119496855334
2002-03-01,14.26,14.35,13.56,13.59,36600,6.28,-0.045592705167173175
2002-04-01,13.6,13.91,13.56,13.82,30900,6.43,0.023885350318471277
2002-05-01,13.87,14.25,13.78,14.21,46600,6.65,0.034214618973561484
2002-06-03,14.2,14.73,14.14,14.73,35700,6.93,0.042105263157894646
2002-07-01,14.62,14.99,14.53,14.75,35100,6.97,0.005772005772005873
2002-08-01,14.75,15.15,14.51,15.05,29000,7.15,0.02582496413199431
2002-09-03,15.08,15.37,14.92,15.29,27600,7.3,0.020979020979020824
2002-10-01,15.31,15.44,13.74,14.3,37300,6.87,-0.05890410958904102
2002-11-01,14.3,14.47,13.84,13.97,32900,6.75,-0.017467248908296984
2002-12-02,13.94,14.5,13.87,14.45,35400,7.02,0.040000000000000036
2003-01-02,14.42,14.54,13.93,14.33,34300,7.0,-0.002849002849002802
2003-02-03,14.34,14.57,14.19,14.4,38100,7.07,0.010000000000000009
2003-03-03,14.42,14.7,14.23,14.66,36700,7.23,0.022630834512022746
2003-04-01,14.69,15.08,14.54,15.05,36100,7.47,0.03319502074688785
2003-05-01,15.09,15.39,14.94,15.38,39600,7.67,0.02677376171352086
2003-06-02,15.38,15.75,14.91,15.05,36900,7.54,-0.016949152542372836
2003-07-01,15.1,15.39,14.02,14.02,49700,7.06,-0.06366047745358094
2003-08-01,14.02,14.23,13.85,14.14,37900,7.16,0.014164305949008638
2003-09-02,14.17,14.64,14.14,14.64,30600,7.46,0.04189944134078205
2003-10-01,14.6,14.81,14.41,14.57,29000,7.46,0.0
2003-11-03,14.59,14.78,14.5,14.69,31300,7.56,0.013404825737265424
2003-12-01,14.69,14.86,14.58,14.79,32500,7.67,0.014550264550264647
2004-01-02,14.76,15.46,14.75,15.35,44500,8.0,0.0430247718383312
2004-02-02,15.43,15.51,15.18,15.51,31000,8.12,0.014999999999999902
2004-03-01,15.52,15.75,15.37,15.38,32300,8.09,-0.003694581280788145
2004-04-01,15.44,15.49,13.73,13.91,72600,7.36,-0.09023485784919649
2004-05-03,13.83,13.99,13.23,13.72,66200,7.3,-0.00815217391304357
2004-06-01,13.75,13.82,13.44,13.63,48900,7.3,0.0
2004-07-01,13.65,14.2,13.63,14.18,33100,7.63,0.045205479452054886
2004-08-02,14.2,14.64,14.18,14.64,45500,7.92,0.038007863695937116
2004-09-01,14.64,14.96,14.48,14.81,39000,8.06,0.017676767676767735
2004-10-01,14.82,14.96,14.72,14.9,37200,8.15,0.011166253101736912
2004-11-01,14.88,14.98,13.95,14.22,58100,7.82,-0.04049079754601226
2004-12-01,14.27,14.68,14.1,14.68,66900,8.12,0.038363171355498604
2005-01-03,14.85,14.85,14.47,14.72,65800,8.18,0.007389162561576512
2005-02-01,14.72,15.2,14.69,14.72,49700,8.23,0.006112469437652868
2005-03-01,14.71,15.35,13.53,13.99,127800,7.86,-0.04495747266099637
2005-04-01,14.09,14.38,13.86,14.15,52200,7.99,0.01653944020356235
2005-05-02,14.16,14.46,14.08,14.37,51700,8.16,0.02127659574468077
2005-06-01,14.37,14.59,14.22,14.5,46800,8.27,0.013480392156862697
2005-07-01,14.5,14.52,14.29,14.37,54900,8.24,-0.0036275695284159193
2005-08-01,14.32,14.53,14.28,14.47,46700,8.33,0.010922330097087318
2005-09-01,14.42,14.94,14.22,14.37,53800,8.32,-0.0012004801920768582
2005-10-03,14.41,14.45,13.5,14.02,41800,8.15,-0.02043269230769229
2005-11-01,14.08,14.11,13.76,13.95,51800,8.15,0.0
2005-12-01,13.96,14.08,13.56,14.04,80100,8.39,0.02944785276073625
2006-01-03,14.04,14.48,13.99,14.37,60800,8.63,0.028605482717520836
2006-02-01,14.39,14.6,14.05,14.47,85200,8.74,0.012746234067207318
2006-03-01,14.5,14.65,14.23,14.5,80100,8.8,0.006864988558352492
2006-04-03,14.5,14.57,14.12,14.35,51900,8.75,-0.005681818181818232
2006-05-01,14.4,14.6,13.93,13.94,54700,8.53,-0.025142857142857244
2006-06-01,13.94,14.31,13.69,14.26,72700,8.77,0.028135990621336537
2006-07-03,14.16,14.45,14.13,14.38,52000,8.88,0.012542759407069726
2006-08-01,14.34,14.63,14.33,14.56,59100,9.03,0.016891891891891664
2006-09-01,14.62,14.75,14.37,14.72,41700,9.17,0.015503875968992276
2006-10-02,14.75,14.87,14.56,14.86,46800,9.3,0.014176663031624903
2006-11-01,14.89,15.0,14.62,14.99,45500,9.42,0.012903225806451424
2006-12-01,14.87,15.88,14.87,15.81,54500,9.98,0.05944798301486198
2007-01-03,15.75,15.95,15.45,15.92,58400,10.09,0.011022044088176308
2007-02-01,15.93,16.1,15.55,15.68,49800,9.98,-0.01090188305252715
2007-03-01,15.74,15.78,15.48,15.62,40000,9.98,0.0
2007-04-02,15.67,16.07,15.58,16.02,44500,10.28,0.03006012024048088
2007-05-01,15.97,16.14,15.65,15.91,54400,10.25,-0.0029182879377431803
2007-06-01,15.95,15.99,14.74,15.05,69600,9.74,-0.04975609756097554
2007-07-02,15.01,15.21,14.02,14.77,45600,9.6,-0.014373716632443578
2007-08-01,14.83,15.18,13.11,15.17,64700,9.91,0.03229166666666683
2007-09-04,15.05,15.19,14.27,14.58,94600,9.56,-0.0353178607467205
2007-10-01,14.62,14.97,13.45,13.87,129500,9.14,-0.043933054393305415
2007-11-01,13.84,14.52,13.2,14.51,124700,9.61,0.051422319474835776
2007-12-03,14.6,15.15,14.3,15.03,98100,10.0,0.04058272632674309
2008-01-02,15.07,15.68,14.81,15.4,88000,10.29,0.028999999999999915
2008-02-01,15.4,15.42,13.29,13.36,111600,8.97,-0.1282798833819241
2008-03-03,13.4,14.46,13.32,13.84,74500,9.33,0.04013377926421402
2008-04-01,13.86,14.9,13.75,14.78,57500,10.02,0.07395498392282951
2008-05-01,14.85,15.0,14.51,14.79,53600,10.07,0.004990019960079861
2008-06-02,14.98,14.98,14.01,14.58,53900,9.97,-0.009930486593843102
2008-07-01,14.73,15.21,14.14,14.82,66600,10.18,0.02106318956870612
2008-08-01,14.88,14.9,13.59,14.09,66800,9.73,-0.04420432220039283
2008-09-02,14.12,14.33,10.2,11.0,115100,7.63,-0.2158273381294964
