Date,Open,High,Low,Close,Volume,Adj Close,Return
2002-07-02,13.0,14.45,11.4,13.41,65000,8.41,0.0
2002-08-01,13.4,17.27,12.79,14.5,23000,9.1,0.08204518430439944
2002-09-03,14.4,14.99,13.8,14.24,11000,8.95,-0.016483516483516536
2002-10-01,14.16,14.3,13.41,13.7,18000,8.61,-0.03798882681564242
2002-11-01,13.68,13.95,12.55,12.82,14800,8.05,-0.06504065040650397
2002-12-02,12.85,13.5,12.85,13.41,13600,8.44,0.04844720496894395
2003-01-02,13.45,15.2,13.22,13.26,9000,8.34,-0.011848341232227444
2003-02-03,13.32,13.9,13.02,13.03,10700,8.2,-0.016786570743405393
2003-03-03,13.23,13.9,13.0,13.51,3500,8.57,0.045121951219512235
2003-04-01,13.42,14.3,13.15,13.55,3100,8.59,0.002333722287047868
2003-05-01,13.5,15.7,13.5,15.52,7800,9.84,0.1455180442374855
2003-06-02,15.62,19.4,15.62,19.02,11900,12.08,0.22764227642276436
2003-07-01,19.03,21.7,18.9,19.77,17100,12.55,0.038907284768211925
2003-08-01,19.6,19.66,18.01,18.49,25700,11.74,-0.06454183266932279
2003-09-02,18.35,19.1,15.2,16.98,6900,11.41,-0.028109028960817684
2003-10-01,16.98,18.18,16.8,17.0,5400,11.42,0.0008764241893075564
2003-11-03,17.05,17.23,16.65,17.12,3300,11.5,0.007005253940455258
2003-12-01,17.1,17.79,16.75,17.79,10100,11.97,0.04086956521739138
2004-01-02,17.84,17.88,16.9,17.2,5000,11.57,-0.03341687552213868
2004-02-02,17.15,17.34,17.0,17.27,13700,11.62,0.004321521175453702
2004-03-01,17.3,17.35,16.5,16.75,15000,11.29,-0.02839931153184161
2004-04-01,16.76,17.78,16.75,17.5,5900,11.79,0.04428697962798944
2004-05-03,17.46,17.6,17.31,17.37,5100,11.7,-0.007633587786259555
2004-06-01,17.37,18.0,17.2,18.0,3200,12.16,0.0393162393162394
2004-07-01,17.95,18.5,17.85,18.05,6300,12.19,0.002467105263157743
2004-08-02,18.09,19.31,17.0,19.17,5700,12.95,0.06234618539786707
2004-09-01,19.09,19.7,18.35,18.38,4200,12.96,0.0007722007722008595
2004-10-01,18.3,18.35,18.0,18.15,1200,12.8,-0.012345679012345734
2004-11-01,18.1,19.45,17.72,19.08,1800,13.46,0.051562499999999956
2004-12-01,19.06,19.98,19.0,19.7,3600,13.95,0.03640416047548278
2005-01-03,19.66,19.76,19.0,19.0,3700,13.45,-0.03584229390681004
2005-02-01,19.0,20.2,18.95,19.5,7100,13.81,0.026765799256505574
2005-03-01,19.4,19.51,18.8,18.98,2300,13.5,-0.022447501810282433
2005-04-01,18.9,19.03,17.14,17.14,2100,12.19,-0.09703703703703703
2005-05-02,17.1,17.1,16.0,16.89,2200,12.01,-0.014766201804757961
2005-06-01,16.9,19.1,16.71,17.9,2500,12.79,0.06494587843463773
2005-07-01,17.9,19.0,17.75,19.0,1900,13.57,0.06098514464425331
2005-08-01,19.2,19.4,18.28,19.17,2500,13.69,0.008843036109064117
2005-09-01,19.3,19.48,18.35,18.4,2400,13.2,-0.03579254930606279
2005-10-03,18.43,18.66,17.75,17.93,1300,12.87,-0.025000000000000022
2005-11-01,17.88,18.26,17.76,18.26,3200,13.1,0.01787101787101797
2005-12-01,18.18,18.63,18.0,18.22,2500,13.14,0.003053435114503955
2006-01-03,18.22,18.8,18.0,18.8,1800,13.56,0.03196347031963476
2006-02-01,18.81,20.15,18.8,19.5,5900,14.06,0.03687315634218291
2006-03-01,19.6,19.81,19.55,19.75,5200,14.31,0.017780938833570348
2006-04-03,19.8,19.99,19.6,19.65,4300,14.23,-0.005590496156533842
2006-05-01,19.76,19.81,18.5,18.65,1800,13.51,-0.05059732958538299
2006-06-01,18.6,18.84,18.08,18.8,2100,13.68,0.012583271650629113
2006-07-03,18.81,18.9,18.0,18.5,6700,13.47,-0.015350877192982337
2006-08-01,18.75,19.5,18.72,19.21,5300,13.98,0.03786191536748329
2006-09-01,19.21,20.15,18.9,20.04,10300,15.35,0.09799713876967098
