Date,Open,High,Low,Close,Volume,Adj Close,Return
1988-01-05,17.12,17.5,16.62,17.25,21800,2.56,0.0
1988-02-01,17.25,17.5,14.38,14.88,52300,2.21,-0.13671875
1988-03-01,14.88,15.25,13.25,13.63,66300,2.03,-0.08144796380090502
1988-04-04,13.75,14.0,13.13,13.63,21500,2.04,0.0049261083743843415
1988-05-02,13.88,14.88,12.25,14.75,105600,2.2,0.07843137254901977
1988-06-01,14.88,15.5,14.38,14.38,39300,2.15,-0.022727272727272818
1988-07-01,14.5,15.0,13.38,15.0,35100,2.25,0.04651162790697683
1988-08-01,15.13,15.5,13.5,13.75,20600,2.07,-0.08000000000000007
1988-09-01,13.63,13.88,12.5,13.0,38300,1.95,-0.05797101449275355
1988-10-03,13.0,14.38,12.63,14.38,64300,2.17,0.11282051282051286
1988-11-01,14.25,14.63,13.63,14.5,38900,2.19,0.009216589861751112
1988-12-01,14.63,15.25,13.5,15.0,72000,2.27,0.0365296803652968
1989-01-03,15.25,16.12,14.88,15.75,56600,2.39,0.052863436123347984
1989-02-01,15.75,17.0,15.63,16.75,44200,2.54,0.06276150627615062
1989-03-01,16.75,17.75,16.25,16.5,45900,2.51,-0.011811023622047334
1989-04-03,16.62,19.75,16.5,19.12,79100,2.92,0.1633466135458168
1989-05-01,19.25,20.0,18.75,19.12,51900,2.92,0.0
1989-06-01,19.12,19.37,18.37,18.5,52600,2.82,-0.03424657534246578
1989-07-03,18.5,19.87,18.25,19.75,56100,3.02,0.07092198581560294
1989-08-01,20.0,21.87,19.25,19.75,69100,3.02,0.0
1989-09-01,19.87,21.75,19.87,21.62,45300,3.31,0.0960264900662251
1989-10-02,21.75,22.62,18.5,18.75,59200,2.88,-0.12990936555891242
1989-11-01,18.87,19.12,18.5,19.12,28100,2.94,0.02083333333333326
1989-12-01,19.0,19.25,17.5,19.0,35800,2.92,-0.006802721088435382
1990-01-02,18.87,19.37,17.87,17.87,58400,2.76,-0.0547945205479452
1990-02-01,18.0,18.75,17.5,18.0,44300,2.78,0.007246376811594235
1990-03-01,18.0,18.75,17.87,18.0,36800,2.78,0.0
1990-04-02,17.87,18.12,17.12,17.87,33300,2.78,0.0
1990-05-01,18.0,20.0,17.87,19.25,43000,2.99,0.07553956834532394
1990-06-01,19.12,19.5,16.75,17.12,105100,2.66,-0.11036789297658867
1990-07-02,17.0,17.25,16.25,16.37,65800,2.56,-0.03759398496240607
1990-08-01,16.5,16.62,15.0,15.25,24800,2.39,-0.06640625
