Date,Open,High,Low,Close,Volume,Adj Close,Return
1984-12-18,9.14,9.3,8.17,9.09,1848600,0.43,0.0
1985-01-02,9.2,10.82,8.76,10.17,726900,0.48,0.11627906976744184
1985-02-01,10.17,10.49,8.87,9.09,541300,0.43,-0.10416666666666663
1985-03-01,9.2,9.84,8.44,9.68,435100,0.46,0.06976744186046524
1985-04-01,9.79,9.79,8.48,8.81,373600,0.42,-0.08695652173913049
1985-05-01,8.81,9.25,8.59,8.59,240500,0.41,-0.023809523809523836
1985-06-03,8.59,9.46,8.59,9.35,313300,0.44,0.07317073170731714
1985-07-01,9.63,11.16,9.41,10.83,781200,0.52,0.18181818181818188
1985-08-01,10.72,12.25,9.52,11.92,1044700,0.57,0.09615384615384603
1985-09-03,11.59,11.7,9.95,11.48,718400,0.55,-0.0350877192982455
1985-10-01,11.54,12.31,10.22,10.44,433000,0.5,-0.09090909090909094
1985-11-01,10.33,11.65,10.22,11.43,548800,0.55,0.10000000000000009
1985-12-02,11.54,12.2,10.77,11.92,561200,0.57,0.036363636363636154
1986-01-02,11.92,11.92,10.6,11.04,313400,0.53,-0.07017543859649111
1986-02-03,11.04,11.04,8.83,9.93,492200,0.48,-0.09433962264150952
1986-03-03,10.04,11.37,9.82,10.93,706600,0.53,0.10416666666666674
1986-04-01,10.65,10.98,10.2,10.31,301800,0.5,-0.05660377358490576
1986-05-01,10.31,10.65,9.98,10.09,195000,0.49,-0.020000000000000018
1986-06-02,10.2,10.2,8.87,9.54,423200,0.46,-0.061224489795918324
1986-07-01,9.54,9.98,7.54,7.87,574000,0.38,-0.17391304347826086
1986-08-01,7.76,10.76,7.21,8.87,674200,0.43,0.13157894736842102
1986-09-02,8.98,9.76,7.76,7.99,546300,0.39,-0.09302325581395343
1986-10-01,8.21,8.65,7.87,8.1,204800,0.39,0.0
1986-11-03,8.21,8.54,7.87,8.32,279300,0.4,0.025641025641025772
1986-12-01,8.21,8.65,7.76,7.99,347800,0.39,-0.025000000000000022
1987-01-02,8.1,9.43,8.1,8.43,464900,0.41,0.0512820512820511
1987-02-02,8.32,9.32,8.1,9.09,458100,0.44,0.07317073170731714
1987-03-02,9.32,10.54,8.87,10.31,689300,0.5,0.13636363636363646
1987-04-01,9.98,12.42,9.76,10.98,886700,0.53,0.06000000000000005
1987-05-01,10.98,11.65,9.76,11.09,322500,0.54,0.018867924528301883
1987-06-01,11.31,11.31,10.54,10.76,239400,0.52,-0.03703703703703709
1987-07-01,10.87,11.65,10.65,11.2,204500,0.54,0.03846153846153855
1987-08-03,11.2,12.2,10.87,11.42,208000,0.55,0.0185185185185186
1987-09-01,11.31,11.42,10.2,11.42,188500,0.55,0.0
1987-10-01,11.42,11.76,6.65,7.76,431100,0.38,-0.3090909090909092
