Date,Open,High,Low,Close,Volume,Adj Close,Return
1991-04-12,20.0,27.38,20.0,23.0,195300,14.31,0.0
1991-05-01,23.0,25.88,22.12,25.25,562600,15.71,0.09783368273934312
1991-06-03,25.25,25.5,21.62,22.88,418300,14.23,-0.09420751113940162
1991-07-01,23.0,27.5,22.75,27.5,296400,17.11,0.20238931834153195
1991-08-01,27.38,29.0,25.25,27.62,243700,17.34,0.013442431326709636
1991-09-03,27.5,29.12,26.5,27.62,203200,17.34,0.0
1991-10-01,27.62,29.75,27.0,29.38,167100,18.44,0.06343713956170705
1991-11-01,29.75,30.25,25.0,25.5,236900,16.14,-0.12472885032537961
1991-12-02,25.12,27.5,23.5,27.38,182900,17.33,0.07372986369268886
1992-01-02,27.5,29.75,24.5,25.38,245900,16.06,-0.07328332371609925
1992-02-03,25.0,26.12,23.62,25.75,289900,16.46,0.024906600249066102
1992-03-02,25.75,27.88,24.12,24.38,194100,15.58,-0.053462940461725394
1992-04-01,24.38,26.38,22.25,26.12,208200,16.7,0.07188703465982016
1992-05-01,26.38,26.5,24.62,24.62,132900,15.9,-0.0479041916167664
1992-06-01,24.75,29.0,24.38,28.5,353800,18.4,0.1572327044025157
1992-07-01,28.75,30.38,26.38,28.0,283000,18.08,-0.017391304347826098
1992-08-03,28.0,28.88,24.0,26.25,140600,17.1,-0.05420353982300863
1992-09-01,26.25,26.62,24.5,24.62,154700,16.04,-0.06198830409356737
1992-10-01,24.5,26.88,22.12,25.38,255300,16.53,0.030548628428927804
1992-11-02,25.38,31.0,24.62,31.0,291800,20.4,0.23411978221415586
1992-12-01,30.88,34.38,29.62,34.0,228300,22.37,0.0965686274509805
1993-01-04,33.75,38.25,31.5,36.75,391500,24.18,0.0809119356280732
1993-02-01,36.38,40.38,35.62,37.25,448900,24.68,0.02067824648469818
1993-03-01,37.12,41.5,34.75,39.75,422300,26.33,0.0668557536466774
1993-04-01,39.75,43.25,35.5,42.75,336900,28.32,0.07557918723889112
1993-05-03,42.5,46.0,41.88,43.0,361300,28.65,0.01165254237288127
1993-06-01,43.0,44.12,38.62,40.75,254400,27.15,-0.05235602094240843
1993-07-01,40.5,40.75,30.0,30.12,763500,20.07,-0.26077348066298334
1993-08-02,29.62,33.38,27.5,32.25,639000,21.67,0.07972097658196309
