Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-10-13,12.5,13.5,10.1,11.3,5756800,10.51,0.0
2011-11-01,10.33,11.85,8.78,8.94,3445800,8.4,-0.20076117982873454
2011-12-01,8.94,9.41,8.25,9.05,1812800,8.5,0.011904761904761862
2012-01-03,9.21,10.3,8.99,9.99,1613700,9.38,0.10352941176470587
2012-02-01,10.03,10.65,9.92,10.51,1540200,9.87,0.05223880597014907
2012-03-01,10.53,12.88,10.31,12.52,1827400,11.86,0.20162107396149964
2012-04-02,12.22,12.32,11.05,11.53,1045100,10.92,-0.07925801011804379
2012-05-01,11.57,12.32,9.99,10.0,1284300,9.56,-0.12454212454212454
2012-06-01,9.82,10.25,9.25,9.86,1114800,9.43,-0.013598326359832713
2012-07-02,9.88,10.1,9.01,9.4,866000,8.99,-0.04665959703075284
2012-08-01,9.46,11.37,9.24,10.1,876100,9.76,0.08565072302558385
2012-09-04,10.13,10.86,9.96,10.34,647100,9.99,0.023565573770491843
2012-10-01,10.54,11.25,10.29,11.06,889300,10.69,0.07007007007007005
2012-11-01,10.95,11.44,10.33,11.3,1173300,11.02,0.030869971936389184
2012-12-03,11.35,11.94,11.0,11.27,1009800,10.99,-0.0027223230490017736
2013-01-02,11.51,11.74,10.95,10.99,854500,10.72,-0.02456778889899902
2013-02-01,11.0,11.35,10.08,10.32,1074000,10.07,-0.06063432835820903
2013-03-01,10.31,11.24,10.15,10.89,1433900,10.72,0.06454816285998022
2013-04-01,10.93,11.5,10.19,11.17,1250900,11.0,0.026119402985074647
2013-05-01,11.11,12.3,10.86,12.15,1259100,12.07,0.0972727272727274
2013-06-03,12.14,13.99,11.64,13.79,1229700,13.69,0.13421706710853343
2013-07-01,13.91,15.1,13.55,14.78,1126900,14.68,0.07231555880204521
2013-08-01,14.94,15.65,14.31,14.71,1497100,14.71,0.002043596730245234
2013-09-03,14.97,16.15,14.67,15.71,1808200,15.71,0.06798096532970765
2013-10-01,15.76,16.77,15.07,16.49,1528100,16.49,0.04964990451941431
2013-11-01,16.39,16.96,15.52,16.78,1806800,16.78,0.01758641600970301
